,Month,Blockchain size in gigabytes
0,"Jan 05, 2021",312.46
1,"Jan 04, 2021",312.24
2,"Jan 03, 2021",312.04
3,"Jan 02, 2021",311.83
4,"Jan 01, 2021",311.63
5,Dec 2020,311.43
6,Nov 2020,305.82
7,Oct 2020,300.32
8,Sep 2020,294.8
9,Aug 2020,289.34
10,Jul 2020,283.87
11,Jun 2020,278.56
12,May 2020,273.47
13,Apr 2020,267.91
14,Mar 2020,263.23
15,Feb 2020,258.8
16,Jan 2020,254.18
17,Dec 2019,249.85
18,Nov 2019,245.61
19,Oct 2019,241.14
20,Sep 2019,236.36
21,Aug 2019,231.73
22,Jul 2019,227.11
23,Jun 2019,222.29
24,May 2019,216.98
25,Apr 2019,211.03
26,Mar 2019,205.96
27,Feb 2019,201.6
28,Jan 2019,197.53
29,Dec 2018,193.06
30,Nov 2018,189.0
31,Oct 2018,184.89
32,Sep 2018,181.04
33,Aug 2018,177.5
34,Jul 2018,173.62
35,Jun 2018,169.84
36,May 2018,166.26
37,Apr 2018,163.01
38,Mar 2018,159.76
39,Feb 2018,155.65
40,Jan 2018,151.52
41,Dec 2017,146.43
42,Nov 2017,140.9
43,Oct 2017,136.51
44,Sep 2017,132.21
45,Aug 2017,128.3
46,Jul 2017,124.41
47,Jun 2017,119.92
48,May 2017,115.61
49,Apr 2017,111.17
50,Mar 2017,107.04
51,Feb 2017,102.86
52,Jan 2017,98.65
53,Dec 2016,94.66
54,Nov 2016,90.78
55,Oct 2016,86.98
56,Sep 2016,83.08
57,Aug 2016,79.75
58,Jul 2016,76.35
59,Jun 2016,73.1
60,May 2016,69.53
61,Apr 2016,65.82
62,Mar 2016,62.59
63,Feb 2016,59.51
64,Jan 2016,56.16
65,Dec 2015,53.16
66,Nov 2015,50.13
67,Oct 2015,47.59
68,Sep 2015,45.02
69,Aug 2015,42.64
70,Jul 2015,40.53
71,Jun 2015,38.0
72,May 2015,36.08
73,Apr 2015,34.25
74,Mar 2015,32.57
75,Feb 2015,30.9
76,Jan 2015,29.43
77,Dec 2014,27.76
78,Nov 2014,26.27
79,Oct 2014,24.85
80,Sep 2014,23.55
81,Aug 2014,22.34
82,Jul 2014,21.05
83,Jun 2014,19.98
84,May 2014,18.92
85,Apr 2014,17.83
86,Mar 2014,16.75
87,Feb 2014,15.51
88,Jan 2014,14.56
89,Dec 2013,13.69
90,Nov 2013,12.63
91,Oct 2013,11.71
92,Sep 2013,10.97
93,Aug 2013,10.25
94,Jul 2013,9.51
95,Jun 2013,8.94
96,May 2013,8.27
97,Apr 2013,7.47
98,Mar 2013,6.64
99,Feb 2013,5.86
100,Jan 2013,5.11
101,Dec 2012,4.52
102,Nov 2012,4.03
103,Oct 2012,3.6
104,Sep 2012,3.14
105,Aug 2012,2.73
106,Jul 2012,2.29
107,Jun 2012,1.93
108,May 2012,1.5
109,Apr 2012,1.21
110,Mar 2012,1.11
111,Feb 2012,1.02
112,Jan 2012,0.93
113,Dec 2011,0.84
114,Nov 2011,0.76
115,Oct 2011,0.69
116,Sep 2011,0.62
117,Aug 2011,0.53
118,Jul 2011,0.43
119,Jun 2011,0.32
120,May 2011,0.19
121,Apr 2011,0.13
122,Mar 2011,0.11
123,Feb 2011,0.08
124,Jan 2011,0.07
125,Dec 2010,0.06
126,Nov 2010,0.05
127,Oct 2010,0.04
128,Sep 2010,0.03
129,Aug 2010,0.03
130,Jul 2010,0.02
131,Jun 2010,0.02
132,May 2010,0.02
133,Apr 2010,0.01
134,Mar 2010,0.01
135,Feb 2010,0.01
136,Jan 2010,0.01
137,Dec 2009,0.01
138,Nov 2009,0.01
139,Oct 2009,0.01
140,Sep 2009,0.01
141,Aug 2009,0.0
142,Jul 2009,0.0
143,Jun 2009,0.0
144,May 2009,0.0
145,Apr 2009,0.0
146,Mar 2009,0.0
147,Feb 2009,0.0
148,Jan 2009,0.0
