,United States presidential inauguration,Number of words
0,Donald J. Trump (2017),1433
1,Barack H. Obama (2013),2137
2,Barack H. Obama (2009),2404
3,George W. Bush (2005),2065
4,George W. Bush (2001),1571
5,William J. Clinton (1997),2155
6,William J. Clinton (1993),1580
7,George H. W. Bush (1989),2283
8,Ronald W. Reagan (1985),2564
9,Ronald W. Reagan (1981),2463
10,James E. Carter (1977),1228
11,Gerald R. Ford (1974),850
12,Richard M. Nixon (1973),1668
13,Richard M. Nixon (1969),2123
14,Lyndon Baines Johnson (1965),1492
15,Lyndon Baines Johnson (1963),0
16,John F. Kennedy (1961),1364
17,Dwight D. Eisenhower (1957),1655
18,Dwight D. Eisenhower (1953),2446
19,Harry S Truman (1949),2273
20,Harry S Truman (1945),0
21,Franklin D. Roosevelt (1945),557
22,Franklin D. Roosevelt (1941),1340
23,Franklin D. Roosevelt (1937),1808
24,Franklin D. Roosevelt (1933),1880
25,Herbert C. Hoover (1929),3801
26,Calvin Coolidge (1925),4054
27,Calvin Coolidge (1923),0
28,Warren G. Harding (1921),3326
29,Woodrow Wilson (1917),1526
30,Woodrow Wilson (1913),1699
31,William H. Taft (1909),5426
32,Theodore Roosevelt (1905),983
33,Theodore Roosevelt (1901),0
34,William McKinley (1901),2215
35,William McKinley (1897),3964
36,Grover Cleveland (1893),2012
37,Benjamin Harrison (1889),4392
38,Grover Cleveland (1885),1681
39,Chester A. Arthur (1881),0
40,James A. Garfield (1881),2975
41,Rutherford B. Hayes (1877),2481
42,Ulysses S. Grant (1873),1337
43,Ulysses S. Grant (1869),1122
44,Andrew Johnson (1865),0
45,Abraham Lincoln (1865),698
46,Abraham Lincoln (1861),3628
47,James Buchanan (1857),2822
48,Franklin Pierce (1853),3329
49,Millard Fillmore (1850),0
50,Zachary Taylor (1849),1087
51,James K. Polk (1845),4801
52,John Tyler (1841),0
53,William H. Harrison (1841),8445
54,Martin Van Buren (1837),3832
55,Andrew Jackson (1833),1172
56,Andrew Jackson (1829),1125
57,John Quincy Adams (1825),2911
58,James Monroe (1821),4456
59,James Monroe (1817),3366
60,James Madison (1813),1210
61,James Madison (1809),1174
62,Thomas Jefferson (1805),2151
63,Thomas Jefferson (1801),1721
64,John Adams (1797),2318
65,George Washington (1793),133
66,George Washington (1789),1419
