,Month,Number of new cases
0,"Dec 17, 2020",1
1,"Dec 16, 2020",412
2,"Dec 15, 2020",3471
3,"Dec 14, 2020",3820
4,"Dec 13, 2020",3145
5,"Dec 12, 2020",3077
6,"Dec 11, 2020",3256
7,"Dec 10, 2020",3264
8,"Dec 9, 2020",3147
9,"Dec 8, 2020",3109
10,"Dec 7, 2020",2742
11,"Dec 6, 2020",1973
12,"Dec 5, 2020",1719
13,"Dec 4, 2020",2022
14,"Dec 3, 2020",1915
15,"Dec 2, 2020",1876
16,"Dec 1, 2020",1713
17,"Nov 30, 2020",1534
18,"Nov 29, 2020",1177
19,"Nov 28, 2020",1160
20,"Nov 27, 2020",1314
21,"Nov 26, 2020",1266
22,"Nov 25, 2020",1308
23,"Nov 24, 2020",1331
24,"Nov 23, 2020",1184
25,"Nov 22, 2020",1013
26,"Nov 21, 2020",1005
27,"Nov 20, 2020",1247
28,"Nov 19, 2020",1231
29,"Nov 18, 2020",1339
30,"Nov 17, 2020",1333
31,"Nov 16, 2020",1258
32,"Nov 15, 2020",1005
33,"Nov 14, 2020",1058
34,"Nov 13, 2020",1154
35,"Nov 12, 2020",1065
36,"Nov 11, 2020",1104
37,"Nov 10, 2020",1075
38,"Nov 9, 2020",1052
39,"Nov 8, 2020",758
40,"Nov 7, 2020",845
41,"Nov 6, 2020",961
42,"Nov 5, 2020",1033
43,"Nov 4, 2020",1244
44,"Nov 3, 2020",1261
45,"Nov 2, 2020",1272
46,"Nov 1, 2020",960
47,"Oct 31, 2020",982
48,"Oct 30, 2020",1077
49,"Oct 29, 2020",1016
50,"Oct 28, 2020",1212
51,"Oct 27, 2020",1238
52,"Oct 26, 2020",1014
53,"Oct 25, 2020",926
54,"Oct 24, 2020",823
55,"Oct 23, 2020",864
56,"Oct 22, 2020",879
57,"Oct 21, 2020",862
58,"Oct 20, 2020",790
59,"Oct 19, 2020",702
60,"Oct 18, 2020",459
61,"Oct 17, 2020",433
62,"Oct 16, 2020",478
63,"Oct 15, 2020",455
64,"Oct 14, 2020",480
65,"Oct 13, 2020",434
66,"Oct 12, 2020",462
67,"Oct 11, 2020",255
68,"Oct 10, 2020",286
69,"Oct 9, 2020",413
70,"Oct 8, 2020",420
71,"Oct 7, 2020",452
72,"Oct 6, 2020",431
73,"Oct 5, 2020",433
74,"Oct 4, 2020",313
75,"Oct 3, 2020",339
76,"Oct 2, 2020",368
77,"Oct 1, 2020",433
78,"Sep 30, 2020",438
79,"Sep 29, 2020",451
80,"Sep 28, 2020",484
81,"Sep 27, 2020",357
82,"Sep 26, 2020",394
83,"Sep 25, 2020",488
84,"Sep 24, 2020",607
85,"Sep 23, 3030",652
86,"Sep 22, 2020",591
87,"Sep 21, 2020",536
88,"Sep 20, 2020",411
89,"Sep 19, 2020",421
90,"Sep 18, 2020",477
91,"Sep 17, 2020",516
92,"Sep 16, 2020",559
93,"Sep 15, 2020",439
94,"Sep 14, 2020",382
95,"Sep 13, 2020",296
96,"Sep 12, 2020",302
97,"Sep 11, 2020",348
98,"Sep 10, 2020",371
99,"Sep 9, 2020",293
100,"Sep 8, 2020",329
101,"Sep 7, 2020",297
102,"Sep 6, 2020",224
103,"Sep 5, 2020",198
104,"Sep 4, 2020",205
105,"Sep 3, 2020",194
106,"Sep 2, 2020",159
107,"Sep 1, 2020",201
108,"Aug 31, 2020",121
109,"Aug 30, 2020",104
110,"Aug 29, 2020",89
111,"Aug 28, 2020",109
112,"Aug 27, 2020",71
113,"Aug 26, 2020",80
114,"Aug 25, 2020",81
115,"Aug 24, 2020",75
116,"Aug 23, 2020",75
117,"Aug 22, 2020",89
118,"Aug 21, 2020",87
119,"Aug 20, 2020",87
120,"Aug 19, 2020",87
121,"Aug 18, 2020",114
122,"Aug 17, 2020",96
123,"Aug 16, 2020",90
124,"Aug 15, 2020",127
125,"Aug 14, 2020",112
126,"Aug 13, 2020",116
127,"Aug 12, 2020",161
128,"Aug 11, 2020",136
129,"Aug 10, 2020",155
130,"Aug 9, 2020",130
131,"Aug 8, 2020",90
132,"Aug 7, 2020",143
133,"Aug 6, 2020",174
134,"Aug 5, 2020",118
135,"Aug 4, 2020",122
136,"Aug 3, 2020",117
137,"Aug 2, 2020",78
138,"Aug 1, 2020",64
139,"Jul 31, 2020",58
140,"Jul 30, 2020",84
141,"Jul 29, 2020",65
142,"Jul 28, 2020",78
143,"Jul 27, 2020",64
144,"Jul 26, 2020",24
145,"Jul 25, 2020",27
146,"Jul 24, 2020",37
147,"Jul 23, 2020",54
