,Soccer player,Payroll in thousand U.S. dollars
0,Ali Adnan,1277.5
1,Fredy Montero,968.0
2,Jon Erice Dominguez,752.36
3,Yordy Reyna,713.14
4,Hwang In-Beom,655.0
5,Erik Godoy,449.32
6,Michaell  Chirinos,396.88
7,Anthony Blondell,307.7
8,Joaquin Ardaiz,272.73
9,Georges,204.24
10,Andy Rose,192.5
11,Russell Teibert,190.0
12,Zac MacMath,190.0
13,Jasser Khmiri,180.0
14,Scott Sutter,170.18
15,Jake Nerwinski,124.13
16,Derek Cornelius,111.91
17,"Victor ""PC"" Giro",110.31
18,Alhassane Bangoura,100.0
19,Maxime Crepeau,94.08
20,Michael Baldisimo,83.01
21,Simon Colyn,81.25
22,Thelonius Bair,76.25
23,Brett Levis,74.16
24,Sean Melvin,70.25
25,Tosaint  Ricketts,70.25
26,Thomas Hasal,66.25
27,David Norman,58.23
28,Brendan McDonough,56.25
29,Georges Mukumbilwa,56.25
