,Quarter,Viewers in thousands
0,Q1 2012,54164
1,Q2 2012,54434
2,Q3 2012,54569
3,Q4 2012,54758
4,Q1 2013,54675
5,Q2 2013,53834
6,Q3 2013,53275
7,Q4 2013,54939
8,Q1 2014,54625
9,Q2 2014,54081
10,Q3 2014,53645
11,Q4 2014,54491
12,Q1 2015,54011
13,Q2 2015,53068
14,Q3 2015,52429
15,Q4 2015,54295
16,Q1 2016,53974
17,Q2 2016,53309
18,Q3 2016,54017
19,Q4 2016,54389
20,Q1 2017,52999
21,Q2 2017,52319
22,Q3 2017,53011
23,Q4 2017,54067
24,Q1 2018,53039
25,Q2 2018,51404
26,Q3 2018,52167
27,Q4 2018,53637
28,Q1 2019,51801
29,Q2 2019,50370
30,Q3 2019,51119
