,film,Box office gross in million U.S. dollars
0,Captain America: Civil War,1153.3
1,Rogue One: A Star Wars Story,1056.1
2,Finding Dory,1028.6
3,Zootopia,1023.8
4,The Jungle Book (2016),966.6
5,The Secret Life of Pets,875.5
6,Batman v Superman: Dawn of Justice,873.3
7,Fantastic Beasts and Where To Find Them,814.0
8,Deadpool,783.1
9,Suicide Squad,745.6
10,Doctor Strange,677.7
11,Moana,642.9
12,Sing,632.4
13,The Mermaid (Mei ren yu),553.8
14,X-Men: Apocalypse,543.9
15,Kung Fu Panda 3,521.2
16,La La Land,445.2
17,Warcraft,433.7
18,Jason Bourne,415.5
19,Ice Age: Collision Course,408.6
