,Month,Month-on-month CPI change
0,Jul 20*,1.1%
1,Jun 20,0.3%
2,May 20,-0.1%
3,Apr 20,0.5%
4,Mar 20,0.2%
5,Feb 20,0.6%
6,Jan 20,-0.8%
7,Dec 19,0.1%
8,Nov 19,-0.4%
9,Oct 19,0.4%
10,Sep 19,-0.6%
11,Aug 19,0.4%
12,Jul 19,1%
13,Jun 19,-0.1%
14,May 19,-0.1%
15,Apr 19,0.7%
16,Mar 19,0.4%
17,Feb 19,0.9%
18,Jan 19,0.1%
19,Dec 18,-0.1%
20,Nov 18,-0.2%
21,Oct 18,0.4%
22,Sep 18,-0.4%
23,Aug 18,0.1%
24,Jul 18,1.1%
25,Jun 18,-0.3%
26,May 18,0.3%
27,Apr 18,0.6%
28,Mar 18,0.2%
29,Feb 18,0.5%
30,Jan 18,-0.1%
31,Dec 17,0%
32,Nov 17,-0.2%
33,Oct 17,0.1%
34,Sep 17,-0.2%
35,Aug 17,0.2%
36,Jul 17,0.7%
37,Jun 17,-0.3%
38,May 17,-0.3%
39,Apr 17,0.5%
40,Mar 17,0.3%
41,Feb 17,0.7%
42,Jan 17,-0.4%
43,Dec 16,0.2%
44,Nov 16,-0.3%
45,Oct 16,0.3%
46,Sep 16,-0.3%
47,Aug 16,0.1%
48,Jul 16,0.5%
49,Jun 16,-0.3%
50,May 16,0.2%
51,Apr 16,0.1%
52,Mar 16,1%
53,Feb 16,0.6%
54,Jan 16,-1%
55,Dec 15,-0.1%
56,Nov 15,-0.6%
57,Oct 15,-0.1%
58,Sep 15,-0.2%
59,Aug 15,-0.3%
60,Jul 15,0.8%
61,Jun 15,-0.4%
62,May 15,0.2%
63,Apr 15,0.6%
64,Mar 15,1.1%
65,Feb 15,0.6%
66,Jan 15,-0.9%
67,Dec 14,-0.2%
68,Nov 14,-0.6%
69,Oct 14,-0.1%
70,Sep 14,0%
71,Aug 14,-0.1%
72,Jul 14,0.8%
73,Jun 14,-0.3%
74,May 14,-0.3%
75,Apr 14,0.5%
76,Mar 14,0.8%
77,Feb 14,0.4%
78,Jan 14,-0.2%
79,Dec 13,0.1%
80,Nov 13,-0.5%
81,Oct 13,-0.3%
82,Sep 13,0.1%
83,Aug 13,-0.1%
84,Jul 13,0.8%
85,Jun 13,-0.4%
86,May 13,0%
87,Apr 13,0.1%
88,Mar 13,1.1%
89,Feb 13,0.8%
90,Jan 13,0%
91,Dec 12,-0.1%
92,Nov 12,-0.4%
93,Oct 12,0.6%
94,Sep 12,0.4%
95,Aug 12,0.1%
96,Jul 12,0.7%
97,Jun 12,-0.5%
98,May 12,-0.1%
99,Apr 12,0.4%
100,Mar 12,1.1%
101,Feb 12,0.8%
102,Jan 12,-0.1%
103,Dec 11,-0.3%
104,Nov 11,-0.3%
105,Oct 11,0%
106,Sep 11,0.4%
107,Aug 11,0.2%
108,Jul 11,0.5%
109,Jun 11,-0.5%
110,May 11,0.1%
111,Apr 11,0.5%
112,Mar 11,1.1%
113,Feb 11,0.8%
114,Jan 11,-0.1%
115,Dec 10,-0.2%
116,Nov 10,-0.1%
117,Oct 10,0.1%
118,Sep 10,0.6%
119,Aug 10,0.2%
120,Jul 10,-0.3%
121,Jun 10,-0.5%
122,May 10,0%
123,Apr 10,0.3%
124,Mar 10,1.2%
125,Feb 10,0.7%
126,Jan 10,0%
127,Dec 09,-0.6%
128,Nov 09,-0.1%
129,Oct 09,0.1%
130,Sep 09,0.5%
