,Month,Market cap in billion U.S. dollars
0,"Jan 05, 2021",631.98
1,"Jan 04, 2021",594.38
2,"Jan 03, 2021",609.41
3,"Jan 02, 2021",597.21
4,"Jan 01, 2021",546.0
5,Dec 2020,539.05
6,Nov 2020,364.23
7,Oct 2020,255.37
8,Sep 2020,199.56
9,Aug 2020,215.82
10,Jul 2020,208.9
11,Jun 2020,168.32
12,May 2020,174.0
13,Apr 2020,158.92
14,Mar 2020,117.81
15,Feb 2020,156.9
16,Jan 2020,170.11
17,Dec 2019,130.45
18,Nov 2019,136.83
19,Oct 2019,165.8
20,Sep 2019,149.01
21,Aug 2019,172.47
22,Jul 2019,180.03
23,Jun 2019,192.44
24,May 2019,152.06
25,Apr 2019,94.57
26,Mar 2019,72.34
27,Feb 2019,67.7
28,Jan 2019,60.55
29,Dec 2018,65.33
30,Nov 2018,69.9
31,Oct 2018,109.63
32,Sep 2018,114.61
33,Aug 2018,121.35
34,Jul 2018,133.69
35,Jun 2018,109.67
36,May 2018,127.9
37,Apr 2018,157.16
38,Mar 2018,118.2
39,Feb 2018,175.64
40,Jan 2018,172.1
41,Dec 2017,237.47
42,Nov 2017,171.02
43,Oct 2017,107.74
44,Sep 2017,72.01
45,Aug 2017,77.78
46,Jul 2017,47.39
47,Jun 2017,40.74
48,May 2017,37.41
49,Apr 2017,21.98
50,Mar 2017,17.41
51,Feb 2017,19.1
52,Jan 2017,15.66
53,Dec 2016,15.49
54,Nov 2016,11.94
55,Oct 2016,11.18
56,Sep 2016,9.69
57,Aug 2016,9.12
58,Jul 2016,9.86
59,Jun 2016,10.58
60,May 2016,8.29
61,Apr 2016,6.94
62,Mar 2016,6.41
63,Feb 2016,6.68
64,Jan 2016,5.59
65,Dec 2015,6.47
66,Nov 2015,5.62
67,Oct 2015,4.65
68,Sep 2015,3.46
69,Aug 2015,3.35
70,Jul 2015,4.11
71,Jun 2015,3.77
72,May 2015,3.27
73,Apr 2015,3.33
74,Mar 2015,3.42
75,Feb 2015,3.53
76,Jan 2015,3.0
77,Dec 2014,4.38
78,Nov 2014,5.13
79,Oct 2014,4.55
80,Sep 2014,5.16
81,Aug 2014,6.31
82,Jul 2014,7.67
83,Jun 2014,8.3
84,May 2014,8.01
85,Apr 2014,5.69
86,Mar 2014,5.75
87,Feb 2014,6.84
88,Jan 2014,10.24
89,Dec 2013,9.19
90,Nov 2013,13.62
91,Oct 2013,2.43
92,Sep 2013,1.57
93,Aug 2013,1.57
94,Jul 2013,1.22
95,Jun 2013,1.1
96,May 2013,1.45
97,Apr 2013,1.54
