,business,Number of employees
0,A.P. Møller – Mærsk A/S,75813
1,Danske Bank A/S,19768
2,Per Aarsleff A/S,1000
3,Cowi A/S,1000
4,CRH Concrete A/S,1000
5,Ncc Danmark A/S,1000
6,Linak A/S,1000
7,Pricewaterhousecoopers Statsautoriseret Revisionspartnerselskab,1000
8,Elgiganten A/S,1000
9,DSB,1000
10,Bravida Danmark A/S,1000
11,TDC A/S,1000
12,Novasol A/S,1000
13,Harald Nyborg A/S,1000
14,Chr. Hansen A/S,1000
15,Scandic Hotel A/S,1000
16,Dupont Nutrition Biosciences ApS,1000
17,Allianceplus A/S,1000
18,Københavns Lufthavne A/S,1000
19,Forenede Service A/S,1000
