,Quarter,Revenue in million U.S. dollars
0,Q3 '20,936.23
1,Q2 '20,683.44
2,Q1 '20,807.64
3,Q4 '19,1007.43
4,Q3 '19,823.72
5,Q2 '19,841.38
6,Q1 '19,786.89
7,Q4 '18,908.84
8,Q3 '18,758.11
9,Q2 '18,710.54
10,Q1 '18,664.87
11,Q4 '17,731.56
12,Q3 '17,589.63
13,Q2 '17,573.86
14,Q1 '17,548.25
15,Q4 '16,717.21
16,Q3 '16,615.93
17,Q2 '16,601.96
18,Q1 '16,594.52
19,Q4 '15,710.47
20,Q3 '15,569.24
21,Q2 '15,502.38
22,Q1 '15,435.94
23,Q4 '14,479.08
24,Q3 '14,361.27
25,Q2 '14,312.17
26,Q1 '14,250.49
27,Q4 '13,242.68
28,Q3 '13,168.58
29,Q2 '13,139.29
30,Q1 '13,114.34
31,Q4 '12,112.25
32,Q3 '12,82.33
33,Q2 '12,68.05
34,Q1 '12,54.31
35,Q4 '11,41.21
36,Q3 '11,26.42
37,Q2 '11,20.77
38,Q1 '11,17.91
