,College,Starting salary*,Mid-career salary**
0,Harvey Mudd College,90700,161800
1,Stanford University,83500,161400
2,Massachusetts Institute of Technology,89900,159400
3,United States Naval Academy,85000,158800
4,California Institute of Technology,89900,156900
5,Harvard University,77700,156500
6,SUNY Maritime College,74700,156300
7,United States Military Academy,83500,155000
8,Princeton University,76800,154300
9,Dartmouth College,73100,152700
10,Yale University,73900,151500
11,University of Pennsylvania,75000,149500
12,Babson College,71400,149400
13,Santa Clara University,70400,146700
14,Duke University,73500,146600
15,United States Air Force Academy,77800,146500
16,Albany College of Pharmacy and Health Sciences,79600,145900
17,Stevens Institute of Technology,76200,145800
18,Webb Institute,80900,145800
19,Georgetown University,67700,145400
20,Claremont McKenna College,71100,144800
21,Washington and Lee University,67000,144700
22,Lehigh University,70500,143700
23,Colgate University,67300,143700
24,Colorado School of Mines,76200,143600
25,United States Merchant Marine Academy,82900,143500
26,University of California-Berkeley,72100,143300
27,Brown University,69300,142600
28,Williams College,68500,142200
29,Worcester Polytechnic Institute,75200,142100
