,Quarter,Net income/loss in million U.S. dollars
0,Q3 '20,28.66
1,Q2 '20²,-1228.01
2,Q1 '20,-8.4
3,Q4 '19,118.77
4,Q3 '19,36.52
5,Q2 '19¹,1119.56
6,Q1 '19,190.8
7,Q4 '18,255.3
8,Q3 '18,789.18
9,Q2 '18,100.12
10,Q1 '18,61.0
11,Q4 '17,91.08
12,Q3 '17,-21.1
13,Q2 '17,-116.49
14,Q1 '17,-61.56
15,Q4 '16,-167.05
16,Q3 '16,-102.87
17,Q2 '16,-107.22
18,Q1 '16,-79.73
19,Q4 '15,-90.24
20,Q3 '15,-131.69
21,Q2 '15,-136.66
22,Q1 '15,-162.44
23,Q4 '14,-125.35
24,Q3 '14,-175.46
25,Q2 '14,-144.64
26,Q1 '14,-132.36
27,Q4 '13,-511.47
28,Q3 '13,-64.6
29,Q2 '13,-42.23
30,Q1 '13,-27.03
31,Q4 '12,-8.71
32,Q3 '12,-21.59
33,Q2 '12,-27.58
34,Q1 '12,-21.52
