,Quarter,Revenue in billion U.S. dollars
0,Q1 '20,20.86
1,Q4 '19,19.1
2,Q3 '19,20.25
3,Q2 '19,14.92
4,Q1 '19,15.3
5,Q4 '18,14.31
6,Q3 '18,15.23
7,Q2 '18,14.55
8,Q1 '18,15.35
9,Q4 '17,12.78
10,Q3 '17,14.24
11,Q2 '17,13.34
12,Q1 '17,14.78
13,Q4 '16,13.14
14,Q3 '16,14.28
15,Q2 '16,12.97
16,Q1 '16,15.24
17,Q4 '15,13.51
18,Q3 '15,13.1
19,Q2 '15,12.46
20,Q1 '15,13.39
21,Q4 '14,12.39
22,Q3 '14,12.47
23,Q2 '14,11.65
24,Q1 '14,12.31
25,Q4 '13,11.57
26,Q3 '13,11.58
27,Q2 '13,10.55
28,Q1 '13,11.34
29,Q4 '12,10.78
30,Q3 '12,11.09
31,Q2 '12,9.63
32,Q1 '12,10.78
33,Q4 '11,10.43
34,Q3 '11,10.68
35,Q2 '11,9.08
36,Q1 '11,10.72
37,Q4 '10,9.74
38,Q3 '10,10.0
39,Q2 '10,8.58
40,Q1 '10,9.74
