,Year,GDP per capita in U.S. dollars
0,2024,3209.67
1,2023,2965.51
2,2022,2737.15
3,2021,2529.34
4,2020,2338.12
5,2019,2171.64
6,2018,2037.69
7,2017,2014.01
8,2016,1761.63
9,2015,1639.69
10,2014,1610.36
11,2013,1485.6
12,2012,1481.56
13,2011,1497.75
14,2010,1422.93
15,2009,1153.19
16,2008,1048.74
17,2007,1076.84
18,2006,837.46
19,2005,747.34
20,2004,656.52
21,2003,571.56
22,2002,491.99
23,2001,471.7
24,2000,462.98
25,1999,462.22
26,1998,432.23
27,1997,434.71
28,1996,418.63
29,1995,391.25
30,1994,362.37
31,1993,315.42
32,1992,332.5
33,1991,318.1
34,1990,385.38
35,1989,361.45
36,1988,368.34
37,1987,356.25
38,1986,324.25
39,1985,311.43
40,1984,288.56
