,Month,On Course,Off Course
0,Rory Mcllroy,17.51,32.0
1,Arnold Palmer,-,40.0
2,Phil Mickelson,4.27,33.5
3,Tiger Woods,0.11,34.61
4,Jordan Spieth,6.4,24.0
5,Jack Nicklaus,0.04,20.0
6,Dustin Johnson,12.66,7.1
7,Jason Day,8.85,10.75
8,Adam Scott,8.16,6.9
9,Gary Player,-,15.0
10,Henrik Stenson,6.94,7.25
11,Hideki Matsuyama,5.58,8.0
12,Rickie Fowler,3.33,9.1
13,Sergio Garcia,3.85,8.5
14,Matt Kuchar,4.6,6.75
15,Bubba Watson,4.85,6.3
16,Patrick Reed,8.35,2.75
17,Bernhard Langer,4.15,6.25
18,Greg Norman,-,10.0
19,Colin Montgomerie,2.24,7.5
20,Justin Rose,2.31,7.2
21,Jimmy Walker,4.66,4.2
22,Graeme McDowell,3.01,5.8
23,Brandt Snedeker,4.74,4.0
24,Ernie Els,0.65,8.0
25,Lee Westwood,1.95,6.55
26,Branden Grace,4.64,3.7
27,Nick Faldo,0.04,8.25
28,Jim Furyk,1.61,6.65
29,Russell Knox,6.1,2.08
30,Tom Watson,0.15,8.0
31,Miguel A. Jimenez,1.95,6.0
32,Zach Johnson,2.12,5.75
33,Danny Willett,5.29,2.55
34,Martin Kaymar,1.78,6.0
35,Fred Couples,0.23,7.5
36,Paul Casey,5.03,2.0
37,Davis Love III,0.42,6.25
38,Luke Donald,1.83,4.8
39,Justin Thomas,4.42,2.05
40,Brooks Koepka,4.07,2.0
41,William McGirt,3.82,2.2
42,Jason Dufner,3.55,2.4
43,Lydia Ko,2.69,3.25
44,Kevin Kisner,3.71,2.2
45,J.B. Holmes,3.46,2.4
46,Kevin Chappell,5.1,0.7
47,Bill Haas,2.77,2.6
48,Kevin Na,3.63,1.65
49,Padraig Harrington,1.3,4.0
