,Leading health insurance companies,Revenue in gross written premiums in million euros
0,Zilveren Kruis Zorgverzekeringen N.V. B+A,10280
1,VGZ Zorgverzekeraar N.V.,7668
2,OWM CZ groep Zorgverzekeraar U.A.,7283
3,Menzis Zorgverzekeraar N.V.,5469
4,"DSW U.A., OWM Zorgverzekeraar",1450
5,De Friesland Zorgverzekeraar N.V.,1448
6,IZA Zorgverzekeraar N.V.,1424
7,O.W.M. Zorgverz. Zorg en Zekerheid UA,1421
8,Achmea Zorgverzekeringen N.V.,1248
9,OWM CZ groep Aanvullende verzekering Zorgverzekeraar U.A.,693
10,FBTO Zorgverzekeringen N.V.,623
11,AnderZorg N.V.,616
12,Interpolis Zorgverzekeringen N.V.,483
13,Eno Zorgverzekeraar N.V.,381
14,OHRA Zorgverzekeringen N.V.,315
15,N.V. Zorgverzekeraar UMC,268
16,Stad Holland Zorgverzekeraar Onderlinge Waarborgmaatschappij U.A.,258
17,Onderlinge Waarborgmaatschappij voor Instellingen in de Gezondheidszorg MediRisk B.A.,16
