,Year,GDP per capita in U.S. dollars
0,2025*,54726.41
1,2024*,52602.94
2,2023*,50520.91
3,2022*,48308.05
4,2021*,45870.64
5,2020*,42080.05
6,2019,46271.72
7,2018,46391.05
8,2017,45205.03
9,2016,42382.73
10,2015,43626.47
11,2014,51020.69
12,2013,52726.05
13,2012,52753.35
14,2011,52271.54
15,2010,47625.0
16,2009,40934.5
17,2008,46775.92
18,2007,44714.78
19,2006,40557.36
20,2005,36428.39
21,2004,32182.89
22,2003,28337.81
23,2002,24294.89
24,2001,23860.72
25,2000,24301.11
26,1999,22339.86
27,1998,21046.89
28,1997,21929.49
29,1996,21325.81
30,1995,20706.12
31,1994,20024.77
32,1993,20210.34
33,1992,20984.36
34,1991,21885.37
35,1990,21571.68
36,1989,20841.74
37,1988,19040.79
38,1987,16407.77
39,1986,14539.23
40,1985,14185.97
