,Year,Life expectancy at birth in years
0,2017,78.83
1,2016,78.57
2,2015,78.29
3,2014,77.97
4,2013,77.64
5,2012,77.28
6,2011,76.93
7,2010,76.57
8,2009,76.21
9,2008,75.86
10,2007,75.51
11,2006,75.17
12,2005,74.85
13,2004,74.54
14,2003,74.24
15,2002,73.95
16,2001,73.67
17,2000,73.41
18,1999,73.14
19,1998,72.88
20,1997,72.62
21,1996,72.36
22,1995,72.1
23,1994,71.86
24,1993,71.63
25,1992,71.41
26,1991,71.2
27,1990,71.0
28,1989,70.82
29,1988,70.64
30,1987,70.45
31,1986,70.25
32,1985,70.02
33,1984,69.77
34,1983,69.47
35,1982,69.13
36,1981,68.74
37,1980,68.3
38,1979,67.8
39,1978,67.26
40,1977,66.66
41,1976,66.02
42,1975,65.32
43,1974,64.58
44,1973,63.8
45,1972,62.96
46,1971,62.02
47,1970,60.9
48,1969,59.48
49,1968,57.75
50,1967,55.73
51,1966,53.51
52,1965,51.26
53,1964,49.19
54,1963,47.49
55,1962,46.24
56,1961,45.5
57,1960,45.19
