,Year,GDP in billion U.S. dollars
0,2024*,48.05
1,2023*,44.27
2,2022*,40.71
3,2021*,37.26
4,2020*,33.92
5,2019,29.81
6,2018,29.04
7,2017,25.18
8,2016,21.19
9,2015,21.41
10,2014,20.0
11,2013,19.27
12,2012,18.85
13,2011,19.01
14,2010,16.0
15,2009,12.86
16,2008,12.55
17,2007,10.33
18,2006,9.04
19,2005,8.18
20,2004,7.27
21,2003,6.33
22,2002,5.98
23,2001,5.89
24,2000,5.73
25,1999,5.4
26,1998,5.25
27,1997,5.28
28,1996,4.86
29,1995,4.72
30,1994,4.34
31,1993,4.16
32,1992,3.87
33,1991,4.26
34,1990,3.89
35,1989,3.78
36,1988,3.74
37,1987,3.18
38,1986,3.06
39,1985,2.81
40,1984,2.71
