,Country,Number of cases
0,Total,69960
1,South Africa,31368
2,Egypt,7975
3,Morocco,7618
4,Tunisia,5004
5,Algeria,2786
6,Ethiopia,1965
7,Kenya,1694
8,Libya,1546
9,Sudan,1468
10,Nigeria,1324
11,Democratic Republic of the Congo,599
12,Cameroon,448
13,Senegal,433
14,Zimbabwe,431
15,Zambia,417
16,Angola,413
17,Mauritania,373
18,Ghana,335
19,Uganda,294
20,Mali,285
21,Madagascar,262
22,Eswatini,261
23,Namibia,235
24,Malawi,199
25,Mozambique,172
26,Ivory Coast,138
27,Somalia,130
28,Gambia,125
29,Niger,113
30,Cabo Verde,113
31,Rwanda,112
32,Congo,108
33,Chad,105
34,Burkina Faso,89
35,Equatorial Guinea,86
36,Liberia,83
37,Guinea,81
38,Sierra Leone,76
39,Lesotho,73
40,Togo,70
41,Gabon,66
42,South Sudan,63
43,Central African Republic,63
44,Djibouti,61
45,Mayotte,56
46,Guinea-Bissau,45
47,Botswana,45
48,Benin,44
49,Réunion,42
50,Tanzania,21
51,Sao Tome and Principe,17
52,Comros,13
53,Mauritius,10
54,Eritrea,3
55,Burundi,2
56,Seychelles,1
57,Western Sahara,1
