,Country,Number of signatories
0,Countries who signed,32
1,United States,5
2,Japan,5
3,United Kingdom,5
4,France,5
5,"Kingdom of Serbs, Croats and Slovenes (Yugoslavia)",3
6,Belgium,3
7,Italy,3
8,Romania,2
9,Australia,2
10,Greece,2
11,Germany,2
12,Portugal,2
13,Siam,2
14,Canada,2
15,India,2
16,Poland,2
17,Kingdom of Hedjaz (western region of Arabian Peninsula),2
18,SouthAfrica,2
19,Brazil,2
20,Bolivia,1
21,Liberia,1
22,Haiti,1
23,Cuba,1
24,Nicaragua,1
25,Guatemala,1
26,New Zealand,1
27,Honduras,1
28,Panama,1
29,Czechoslovakia,1
30,Peru,1
31,Uruguay,1
32,Ecuador,1
33,China,0
