,Month,Number of players in thousands
0,November 2020,438.92
1,October 2020,381.08
2,September 2020,403.69
3,August 2020,443.39
4,July 2020,469.57
5,June 2020,546.36
6,May 2020,553.12
7,April 2020,913.07
8,March 2020,562.03
9,February 2020,606.69
10,January 2020,645.41
11,December 2019,686.24
12,November 2019,695.92
13,October 2019,637.87
14,September 2019,660.86
15,August 2019,750.94
16,July 2019,745.22
17,June 2019,745.96
18,May 2019,817.6
19,April 2019,886.26
20,March 2019,931.41
21,February 2019,931.75
22,January 2019,1084.61
23,December 2018,1109.77
24,November 2018,895.65
25,October 2018,1048.66
26,September 2018,1125.23
27,August 2018,1260.89
28,July 2018,1350.46
29,June 2018,1750.22
30,May 2018,2175.7
31,April 2018,2456.36
32,March 2018,2799.27
33,February 2018,2934.76
34,January 2018,3236.03
35,December 2017,3080.77
36,November 2017,2915.72
37,October 2017,2390.95
38,September 2017,1550.46
39,August 2017,874.17
40,July 2017,481.29
41,June 2017,267.19
42,May 2017,189.46
43,April 2017,140.1
