,Year,Birth rate per thousand inhabitants
0,2019*,11.2
1,2018*,11.3
2,2017*,11.5
3,2016,11.8
4,2015,12.0
5,2014,12.4
6,2013,12.3
7,2012,12.6
8,2011,12.7
9,2010,12.9
10,2009,12.8
11,2008,12.9
12,2007,12.8
13,2006,13.1
14,2005,12.8
15,2004,12.8
16,2003,12.8
17,2002,12.9
18,2001,13.1
19,2000,13.3
20,1999,12.9
21,1998,12.8
22,1997,12.7
23,1996,12.8
24,1995,12.8
25,1994,12.5
26,1993,12.6
27,1992,13.2
28,1991,13.5
29,1990,13.6
30,1989,13.8
31,1988,13.9
32,1987,13.9
33,1986,14.2
34,1985,14.1
35,1984,14.0
36,1983,13.8
37,1982,14.8
