,State,Unemployment rate
0,Alaska,6.1%
1,District of Columbia,5.5%
2,Mississippi,5.4%
3,West Virginia,4.9%
4,New Mexico,4.9%
5,Louisiana,4.8%
6,Arizona,4.7%
7,Pennsylvania,4.4%
8,Kentucky,4.3%
9,Washington,4.3%
10,Michigan,4.1%
11,Ohio,4.1%
12,California,4%
13,New York,4%
14,Illinois,4%
15,Nevada,3.9%
16,North Carolina,3.9%
17,Delaware,3.8%
18,Oregon,3.7%
19,Connecticut,3.7%
20,New Jersey,3.6%
21,Wyoming,3.6%
22,Rhode Island,3.6%
23,Maryland,3.6%
24,Arkansas,3.5%
25,Texas,3.5%
26,Montana,3.5%
27,Tennessee,3.4%
28,Georgia,3.4%
29,Oklahoma,3.3%
30,South Dakota,3.3%
31,Wisconsin,3.3%
32,Indiana,3.3%
33,Missouri,3.3%
34,Kansas,3.2%
35,Minnesota,3.2%
36,Florida,3.1%
37,Nebraska,3%
38,Maine,3%
39,Alabama,3%
40,Idaho,2.9%
41,Massachusetts,2.9%
42,Colorado,2.8%
43,South Carolina,2.8%
44,Virginia,2.8%
45,Hawaii,2.7%
46,Iowa,2.7%
47,Utah,2.6%
48,New Hampshire,2.5%
49,Vermont,2.4%
50,North Dakota,2.4%
