,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,2.05%
3,2022*,2.06%
4,2021*,1.72%
5,2020*,1.2%
6,2019,2.46%
7,2018,2.63%
8,2017,1.19%
9,2016,-1.32%
10,2015,-1.07%
11,2014,-1.6%
12,2013,0.39%
13,2012,2.39%
14,2011,3.39%
15,2010,3.04%
16,2009,2.47%
17,2008,11.95%
18,2007,7.57%
19,2006,7.42%
20,2005,6.04%
21,2004,6.15%
22,2003,2.35%
23,2002,5.81%
24,2001,7.36%
25,2000,10.32%
26,1999,2.57%
27,1998,18.68%
28,1997,"1,061.21%"
29,1996,123%
30,1995,62.1%
31,1994,96%
32,1993,72.8%
33,1992,82%
34,1991,333.5%
35,1990,23.9%
36,1989,6.4%
37,1988,2.5%
38,1987,2.7%
39,1986,2.7%
40,1985,2.8%
