,Category,Share of respondents
0,"New cuts of meat (e.g. shoulder tender, oyster steak, Vegas Strip Steak, Merlot cut)",69%
1,African flavors,69%
2,"Doughnuts with non-traditional filling (e.g. liqueur, Earl Grey cream)",64%
3,"Ethnic-inspired kids' dishes (e.g. tacos, teriyaki, sushi)",64%
4,"Street food-inspired dishes (e.g. tempura, kabobs, dumplings, pupusas)",64%
5,House-made condiments,64%
6,Gourmet items in kids' meals,63%
7,"Ethnic-inspired breakfast items (e.g. Asia-flavored syrups, Chorizo scrambled eggs, coconut milk pancakes)",63%
8,"Ethnic condiments (e.g. sriracha, sambal, chimichurri, gochujang, zhug)",62%
9,Thai-rolled ice cream,62%
10,Sustainable seafood,62%
11,"Ancient grains (e.g. kamut, spelt, amaranth, lupin)",61%
12,"Uncommon herbs (e.g. chervil, lovage, lemon balm, papalo)",61%
13,Authentic ethnic cuisine,61%
14,Healthful kids' meals,61%
15,"Vegetable carb substitutes (e.g. cauliflower rice, zucchini spaghetti)",61%
16,"Ethnic spices (e.g. harissa, curry, peri peri, ras el hanout, shichimi)",60%
17,Peruvian cuisine,60%
18,House-made/artisan pickles,60%
19,Heritage-breed meats,60%
