,Year,Average number of people per family
0,2019,3.14
1,2018,3.14
2,2017,3.14
3,2016,3.14
4,2015,3.14
5,2014,3.13
6,2013,3.12
7,2012,3.13
8,2011,3.18
9,2010,3.16
10,2009,3.15
11,2008,3.15
12,2007,3.13
13,2006,3.13
14,2005,3.13
15,2004,3.13
16,2003,3.13
17,2002,3.15
18,2001,3.14
19,2000,3.17
20,1999,3.18
21,1998,3.18
22,1997,3.19
23,1996,3.2
24,1995,3.19
25,1994,3.2
26,1993,3.16
27,1992,3.17
28,1991,3.18
29,1990,3.17
30,1989,3.16
31,1988,3.17
32,1987,3.19
33,1986,3.21
34,1985,3.23
35,1984,3.24
36,1983,3.26
37,1982,3.25
38,1981,3.27
39,1980,3.29
40,1979,3.31
41,1978,3.33
42,1977,3.37
43,1976,3.39
44,1975,3.42
45,1974,3.44
46,1973,3.48
47,1972,3.53
48,1971,3.57
49,1970,3.58
50,1960,3.67
