,State,Hourly wages in U.S. dollars
0,Hawaii,38.76
1,California,36.96
2,Massachusetts,35.52
3,District of Columbia,32.83
4,New York,32.53
5,Washington,30.46
6,New Jersey,29.69
7,Maryland,28.06
8,Colorado,26.45
9,Connecticut,26.42
10,Alaska,25.07
11,Florida,24.43
12,Oregon,24.37
13,Virginia,23.64
14,New Hampshire,23.43
15,Vermont,23.36
16,Delaware,21.96
17,Illinois,21.3
18,Rhode Island,21.16
19,Arizona,21.1
20,Texas,20.9
21,Minnesota,20.53
22,Nevada,20.48
23,Utah,19.83
24,Maine,19.79
25,Pennsylvania,19.23
26,Georgia,19.11
27,North Carolina,17.67
28,Louisiana,17.48
29,Michigan,17.42
30,South Carolina,17.3
31,Wisconsin,17.27
32,Wyoming,17.15
33,Tennessee,17.09
34,Montana,16.88
35,Idaho,16.59
36,Kansas,16.43
37,New Mexico,16.37
38,Indiana,16.32
39,Nebraska,16.27
40,North Dakota,16.18
41,Missouri,16.07
42,Ohio,15.99
43,Oklahoma,15.93
44,Iowa,15.46
45,Alabama,15.44
46,South Dakota,15.24
47,Kentucky,14.99
48,West Virginia,14.97
49,Mississippi,14.89
50,Arkansas,14.19
51,Puerto Rico,9.36
