,Year,GDP per capita in U.S. dollars
0,2025,650.07
1,2024,617.75
2,2023,586.26
3,2022,554.25
4,2021,521.75
5,2020,480.49
6,2019,479.86
7,2018,488.59
8,2017,450.74
9,2016,402.05
10,2015,377.48
11,2014,403.23
12,2013,329.44
13,2012,480.05
14,2011,495.04
15,2010,456.56
16,2009,464.51
17,2008,474.39
18,2007,413.35
19,2006,362.23
20,2005,337.64
21,2004,322.8
22,2003,289.84
23,2002,255.65
24,2001,242.27
25,2000,243.23
26,1999,290.99
27,1998,296.1
28,1997,285.8
29,1996,298.44
30,1995,340.99
31,1994,268.11
32,1993,418.92
33,1992,489.79
34,1991,502.9
35,1990,539.66
36,1989,474.88
37,1988,490.94
38,1987,465.18
39,1986,431.34
40,1985,340.23
