,Industry,Percentage of GDP
0,"Finance, insurance, real estate, rental, and leasing",21%
1,Professional and business services,12.8%
2,Government,12.3%
3,Manufacturing,11%
4,"Educational services, health care, and social assistance",8.8%
5,Wholesale trade,6%
6,Retail trade,5.5%
7,Information,5.2%
8,"Arts, entertainment, recreation, accommodation, and food services",4.2%
9,Construction,4.1%
10,Transportation and warehousing,3.2%
11,"Other services, except government",2.1%
12,Utilities,1.6%
13,Mining,1.5%
14,"Agriculture, forestry, fishing, and hunting",0.8%
