,state of India,Rate of unemployment
0,Lakshadweep,25.3%
1,Nagaland,21.1%
2,A.& N. Islands,17.4%
3,Mizoram,14.4%
4,Goa,13.8%
5,Kerala,13.2%
6,Manipur,11.4%
7,Jharkhand,10.5%
8,Puducherry,10.3%
9,Jammu & Kashmir,10%
10,Arunachal Pradesh,9.9%
11,Delhi,9.8%
12,Uttar Pradesh,9.7%
13,Uttarakhand,9.5%
14,Telangana,9.4%
15,Chandigarh,9.2%
16,Bihar,9%
17,Tripura,8.7%
18,Himachal Pradesh,8.7%
19,Odisha,8.3%
20,Punjab,7.7%
21,Madhya Pradesh,7.7%
22,Chhatisgarh,7.5%
23,Maharashtra,7.4%
24,Haryana,7.3%
25,Tamil Nadu,7.2%
26,Rajasthan,7.2%
27,Meghalaya,6.7%
28,Andhra Pradesh,6.6%
29,Karnataka,6.5%
30,West Bengal,6.5%
31,Assam,6.3%
32,Sikkim,5.8%
33,Gujarat,4.3%
34,Daman & Diu,2.6%
35,D.& N.Haveli,0.1%
