,Pharmaceutical company,Indicator score from 1 (lowest) to 5 (highest)
0,Sanofi,5.0
1,GlaxoSmithKline plc,4.54
2,Novo Nordisk A/S,4.54
3,Novartis AG,4.43
4,Eisai Co. Ltd.,4.04
5,Merck KGaA,3.91
6,Pfizer Inc.,3.62
7,Merck & Co. Inc.,3.58
8,Bayer AG,3.33
9,Johnson & Johnson,3.1
10,Bristol-Myers Squibb Co.,3.05
11,AstraZeneca plc,2.87
12,Gilead Sciences Inc.,2.87
13,Roche Holding Ltd.,2.87
14,Eli Lilly & Co.,2.83
15,AbbVie Inc.,2.6
16,Takeda Pharamceutical Co.,2.43
17,Boehringer-Ingelheim GmbH,2.02
18,Astellas Pharma Inc.,1.27
19,Daiichi Sankyo Co. Ltd.,1.21
