,Year,Inflation rate compared to previous year
0,2024*,3%
1,2023*,3%
2,2022*,3%
3,2021*,3.7%
4,2020*,49.7%
5,2019*,161.81%
6,2018,10.61%
7,2017,0.91%
8,2016,-1.56%
9,2015,-2.41%
10,2014,-0.21%
11,2013,1.63%
12,2012,3.72%
13,2011,3.47%
14,2010,3.04%
15,2009,6.22%
16,2008,156.96%
17,2007,-72.73%
18,2006,32.97%
19,2005,-31.52%
20,2004,113.57%
21,2003,-8.57%
22,2002,-34.45%
23,2001,-37.2%
24,2000,4.48%
25,1999,-13.43%
26,1998,-28.02%
27,1997,-0.97%
28,1996,6.01%
29,1995,15.23%
30,1994,-2.76%
31,1993,0.38%
32,1992,-3%
33,1991,-13.14%
34,1990,1.35%
35,1989,-3.85%
36,1988,-1.06%
37,1987,12.79%
38,1986,10.67%
39,1985,-16.01%
40,1984,-1.86%
