,Kickstarter Project,Funds raised in million U.S. dollars
0,Pebble Time (2015),20.34
1,Coolest Cooler (2014),13.29
2,"Pebble 2, Time 2 + All-New Pebble Core (2016)",12.78
3,Kingdom Death: Monster 1.5 (2017),12.39
4,Travel Tripod by Peak Design (2019),12.14
5,Critical Role: The Legend of Vox Machina Animated Special (2019),11.39
6,Pebble: e-paper Watch for iPhone and Android (2012),10.27
7,The World's Best Travel Jacket (2015),9.19
8,Exploding Kittens (2015),8.78
9,OUYA: A New Kind of Video Game Console (2012),8.6
10,Snapmaker 2.0: Modular 3-in-1 3D Printers (2019),7.85
11,"THE 7th CONTINENT – What Goes Up, Must Come Down (2017)",7.07
12,"The Everyday Backpack, Tote, and Sling (2016)",6.57
13,Fidget Cube: A Vinyl Desk Toy (2016),6.47
14,Shenmue 3 (2015),6.33
