,human,Market value in thousand euros
0,Aníbal Godoy,800
1,Román Torres,650
2,Luis Ovalle,550
3,Gabriel Gómez,500
4,Gabriel Torres,500
5,Yoel Bárcenas,500
6,Michael Murillo,500
7,Armando Cooper,450
8,Éric Davis,425
9,Adolfo Machado,400
10,Valentin Pimentel,350
11,Jaime Penedo,300
12,Ismael Díaz,300
13,Hárold Cummings,250
14,Abdiel Arroyo,250
15,Ricardo Ávila,250
16,José Calderón,200
17,José Luis Rodríguez,200
18,Luis Tejada,175
19,Felipe Baloy,175
20,Álex Rodríguez,175
21,Fidel Escobar,175
22,Blas Pérez,150
