,Month,Number of players in thousands
0,Nov '20,714.22
1,Oct '20,722.92
2,Sep '20,666.4
3,Aug '20,660.01
4,Jul '20,713.74
5,Jun '20,734.47
6,May '20,791.57
7,Apr '20,794.98
8,Mar '20,743.93
9,Feb '20,663.52
10,Jan '20,614.83
11,Dec '19,685.17
12,Nov '19,708.52
13,Oct '19,741.52
14,Sept '19,753.37
15,Aug '19,826.69
16,Jul '19,779.16
17,Jun '19,894.33
18,May '19,995.43
19,Apr '19,968.76
20,Mar '19,1036.05
21,Feb '19,964.92
22,Jan '19,876.87
23,Dec '18,765.42
24,Nov '18,826.05
25,Oct '18,739.64
26,Sept' 18,826.17
27,Aug '18,829.28
28,Jul '18,701.58
29,Jun '18,796.89
30,May '18,844.71
31,Apr '18,733.21
32,Mar '18,773.9
33,Feb '18,778.37
34,Jan '18,777.7
35,Dec '17,862.96
36,Nov '17,859.1
37,Oct '17,832.55
38,Sept '17,829.56
39,Aug '17,874.98
40,Jul '17,824.3
41,Jun '17,923.12
42,May '17,972.89
43,Apr '17,921.32
44,Mar '17,956.23
45,Feb '17,1040.39
46,Jan '17,1007.45
47,Dec '16,1016.44
48,Nov '16,1004.97
49,Oct '16,1135.83
50,Sept '16,1063.58
51,Aug '16,1114.22
52,Jul '16,1084.78
53,Jun '16,1096.25
54,May '16,1077.11
55,Apr '16,1128.85
56,Mar '16,1286.62
57,Feb '16,1244.18
58,Jan '16,1068.25
