,Month,Number of users in millions
0,Sep-20,21.97
1,Aug-20,20.87
2,Jul-20,20.85
3,Jun-20,21.63
4,May-20,23.52
5,Apr-20,24.54
6,Mar-20,23.64
7,Feb-20,19.11
8,Jan-20,18.33
9,Dec-19,17.6
10,Nov-19,16.97
11,Oct-19,16.83
12,Sep-19,16.54
13,Aug-19,15.99
14,Jul-19,16.53
15,Jun-19,16.49
16,May-19,16.98
17,Apr-19,17.13
18,Mar-19,17.28
19,Feb-19,17.62
20,Jan-19,17.53
21,Dec-18,16.97
22,Nov-18,16.61
23,Oct-18,16.3
24,Sep-18,16.8
25,Aug-18,16.03
26,Jul-18,16.36
27,Jun-18,17.23
28,May-18,16.77
29,Apr-18,17.2
30,Mar-18,18.52
31,Feb-18,18.36
32,Jan-18,18.54
33,Dec-17,17.99
34,Nov-17,17.68
35,Oct-17,16.72
36,Sep-17,15.61
37,Aug-17,14.23
38,Jul-17,14.07
39,Jun-17,14.01
40,May-17,13.52
41,Apr-17,13.71
42,Mar-17,13.7
43,Feb-17,14.06
44,Jan-17,14.37
45,Dec-16,13.69
46,Nov-16,13.67
47,Oct-16,13.08
48,Sep-16,12.56
49,Aug-16,11.96
50,Jul-16,12.28
51,Jun-16,12.34
52,May-16,12.39
53,Apr-16,12.93
54,Mar-16,12.8
55,Feb-16,12.86
56,Jan-16,12.52
57,Dec-15,11.64
58,Nov-15,13.47
59,Oct-15,12.59
60,Sep-15,10.7
61,Aug-15,10.07
62,Jul-15,9.44
63,Jun-15,10.27
64,May-15,9.57
65,Apr-15,9.47
66,Mar-15,9.28
67,Feb-15,8.94
68,Jan-15,8.57
69,Dec-14,8.36
70,Nov-14,9.41
71,Oct-14,7.58
72,Sep-14,7.35
73,Aug-14,7.17
74,Jul-14,7.28
75,Jun-14,7.85
76,May-14,7.05
77,Apr-14,7.01
78,Mar-14,7.18
79,Feb-14,7.48
80,Jan-14,7.81
81,Dec-13,7.68
82,Nov-13,6.93
83,Oct-13,6.83
84,Sep-13,6.61
85,Aug-13,5.71
86,Jul-13,5.67
87,Jun-13,5.25
88,May-13,5.4
89,Apr-13,5.6
90,Mar-13,5.74
91,Feb-13,6.51
92,Jan-13,6.61
