,industry,Number of companies
0,Total,7400
1,Bakeries and patisseries,3765
2,Butcheries (excl. poultry butcheries),335
3,Cocoa and chocolate processing industry,335
4,Meat processing,330
5,Snack industry (incl. salads),310
6,Other,305
7,Pastry and cookies industry,265
8,Dairy industry (excl. ice cream),255
9,Fish processing,180
10,Fruit and vegetable processing,170
11,Consumption ice industry,145
12,Coffee roasters and tea processing industry,145
13,Mill products industry (excl. starch),120
14,"Sauce, salt and condiment industry",105
15,Fat and oil industry,70
16,Diet food industry,70
17,Poultry butcheries,55
18,Fruit and vegetable juice manufacturing,45
19,Dough industry,35
20,Potato products manufacturing,35
21,Starch industry,30
22,Sugar industry,5
23,Margarine industry,5
