,Month,Number of players in thousands
0,Jan '20,214.8
1,Dec '19,204.14
2,Nov '19,138.54
3,Oct '19,117.0
4,Sept '19,135.07
5,Aug '19,176.21
6,Jul '19,197.56
7,Jun '19,109.16
8,May '19,108.56
9,Apr '19,91.59
10,Mar '19,126.52
11,Feb '19,119.44
12,Jan '19,118.21
13,Dec '18,120.69
14,Nov '18,81.36
15,Oct '18,81.34
16,Sept '18,97.92
17,Aug '18,123.56
18,Jul '18,162.02
19,Jun '18,118.33
20,May '18,82.96
21,Aprl '18,89.79
22,Mar '18,94.49
23,Feb '18,94.31
24,Jan '18,167.75
25,Dec '17,170.32
26,Nov '17,85.11
27,Oct '17,84.55
28,Sept '17,101.43
29,Aug '17,121.83
30,Jul '17,112.07
31,Jun '17,131.94
32,May '17,83.48
33,Apr '17,96.5
34,Mar '17,98.8
35,Feb '17,104.9
36,Jan '17,116.13
37,Dec '16,126.68
38,Nov '16,86.76
39,Oct '16,86.19
40,Sept '16,61.92
41,Aug '16,63.87
42,Jul '16,71.78
43,Jun '16,78.33
44,May '16,48.05
45,Apr '16,65.88
46,Mar '16,64.63
47,Feb '16,72.74
48,Jan '16,93.73
