,leading reinsurer,Net premiums earned in million U.S. dollars
0,National Indemnity Co.,24991.32
1,Munich Re America Corp.,5038.13
2,Everest Reins. Co.,5516.14
3,Swiss Reins. America Corp.,2517.09
4,Transatlantic Reinsurance,3940.48
5,Odyssey Reins. Group,2952.47
6,General Re Group,2959.09
7,XL Reins. America,1694.64
8,SCOR U.S. Group/SCOR re,1698.13
9,Partner Reins. Co.,1845.56
10,Axis Reins. Co.,845.86
11,Endurance Reins. Corp. of America,953.88
12,The Toa Reins. Co. of America,465.38
13,Renaissance Resinsurance,465.75
14,American Agricultural Ins. Co.,373.48
15,EMC Reins. Co.,173.02
16,Sirius America Insurance Co.,227.38
