,Year,GDP in billion U.S. dollars
0,2024*,1099.49
1,2023*,1036.06
2,2022*,978.76
3,2021*,904.56
4,2020*,813.81
5,2019*,743.71
6,2018,771.27
7,2017,852.65
8,2016,863.39
9,2015,859.45
10,2014,934.08
11,2013,950.33
12,2012,873.7
13,2011,832.5
14,2010,772.29
15,2009,644.47
16,2008,764.64
17,2007,675.01
18,2006,550.8
19,2005,501.16
20,2004,404.85
21,2003,311.94
22,2002,238.34
23,2001,200.31
24,2000,273.09
25,1999,256.49
26,1998,276.01
27,1997,261.78
28,1996,250.26
29,1995,233.34
30,1994,179.21
31,1993,248.45
32,1992,219.09
33,1991,208.11
34,1990,207.38
35,1989,147.69
36,1988,125.15
37,1987,118.89
38,1986,102.3
39,1985,92.76
40,1984,82.58
