,Month,Index value
0,Aug 19,212.06
1,Jul 19,211.63
2,Jun 19,210.87
3,May 19,209.65
4,Apr 19,207.96
5,Mar 19,206.06
6,Feb 19,204.72
7,Jan 19,204.46
8,Dec 18,204.94
9,Nov 18,205.34
10,Oct 18,205.59
11,Sep 18,205.6
12,Aug 18,205.55
13,Jul 18,205.18
14,Jun 18,204.27
15,May 18,202.66
16,Apr 18,200.8
17,Mar 18,198.76
18,Feb 18,197.08
19,Jan 18,196.29
20,Dec 17,196.02
21,Nov 17,195.61
22,Oct 17,195.24
23,Sep 17,194.97
24,Aug 17,194.5
25,Jul 17,193.66
26,Jun 17,192.4
27,May 17,190.65
28,Apr 17,188.65
29,Mar 17,186.64
30,Feb 17,185.14
