,Month,Units sold
0,Dec 19,72
1,Nov 19,120
2,Oct 19,92
3,Sep 19,395
4,Aug 19,80
5,Jul 19,82
6,Jun 19,122
7,May 19,142
8,Apr 19,113
9,Mar 19,438
10,Feb 19,66
11,Jan 19,208
12,Dec 18,111
13,Nov 18,197
14,Oct 18,166
15,Sep 18,461
16,Aug 18,62
17,Jul 18,132
18,Jun 18,359
19,May 18,250
20,Apr 18,151
21,Mar 18,613
22,Feb 18,65
23,Jan 18,187
24,Dec 17,141
25,Nov 17,234
26,Oct 17,210
27,Sep 17,454
28,Aug 17,100
29,Jul 17,175
30,Jun 17,362
31,May 17,273
32,Apr 17,282
33,Mar 17,956
34,Feb 17,105
35,Jan 17,298
36,Dec 16,174
37,Nov 16,245
38,Oct 16,188
39,Sep 16,983
40,Aug 16,219
41,Jul 16,293
