,Month,USD RUB exchange rate
0,Jan 20,63.89
1,Dec 19,61.97
2,Nov 19,64.06
3,Oct 19,63.75
4,Sep 19,64.62
5,Aug 19,66.49
6,Jul 19,63.49
7,Jun 19,63.06
8,May 19,64.92
9,Apr 19,64.43
10,Mar 19,64.91
11,Feb 19,65.73
12,Jan 19,65.41
13,Dec 18,69.52
14,Nov 18,66.07
15,Oct 18,65.65
16,Sep 18,66.82
17,Aug 18,68.2
18,Jul 18,63.29
19,Jun 18,62.83
20,Apr 18,62.95
21,Mar 18,57.25
22,Feb 18,56.79
23,Jan 18,55.94
24,Dec 17,56.97
25,Nov 17,58.45
26,Oct 17,58.26
27,Sep 17,57.52
28,Aug 17,58.46
29,Jul 17,59.48
30,Jun 17,59.42
31,May 17,56.53
32,Apr 17,56.97
33,Mar 17,55.98
34,Feb 17,58.18
35,Jan 17,59.72
36,Dec 16,60.34
37,Nov 16,65.14
38,Oct 16,63.04
39,Sep 16,63.08
40,Aug 16,65.28
41,Jul 16,66.58
42,Jun 16,63.82
43,May 16,65.67
44,Apr 16,64.56
45,Mar 16,67.68
46,Feb 16,76.34
47,Jan 16,76.55
48,Dec 15,73.23
49,Nov 15,66.63
50,Oct 15,64.3
51,Sep 15,65.8
52,Aug 15,65.11
53,Jul 15,59.6
54,Jun 15,55.71
55,May 15,52.69
56,April 15,50.99
57,Mar 15,57.53
58,Feb 15,61.14
59,Jan 15,68.74
60,Dec 14,56.56
61,Nov 14,49.26
62,Oct 14,41.01
63,Sep 14,39.56
64,Aug 14,36.94
65,Jul 14,35.63
66,Jun 14,33.84
67,May 14,34.62
68,Apr 14,35.59
69,Mar 14,35.15
70,Feb 14,35.99
