,Year,GDP per capita in U.S. dollars
0,2024*,62696.24
1,2023*,60250.66
2,2022*,58102.28
3,2021*,55998.95
4,2020*,53873.37
5,2019*,52367.85
6,2018,53228.27
7,2017,48799.87
8,2016,46165.18
9,2015,45302.8
10,2014,53026.48
11,2013,52201.72
12,2012,50100.62
13,2011,54209.22
14,2010,51046.25
15,2009,52648.42
16,2008,57916.25
17,2007,51804.2
18,2006,44901.09
19,2005,42046.72
20,2004,40404.22
21,2003,35734.22
22,2002,29294.21
23,2001,26891.92
24,2000,26220.07
25,1999,28299.67
26,1998,27924.51
27,1997,26733.01
28,1996,29016.44
29,1995,29284.58
30,1994,24824.41
31,1993,23237.63
32,1992,24061.89
33,1991,21931.77
34,1990,21457.92
35,1989,17514.51
36,1988,17869.58
37,1987,16807.92
38,1986,13810.05
39,1985,9964.01
40,1984,9867.25
