,Response,Share of respondents
0,Search engine for general web search,69.8%
1,Search engine for images or photos,39.4%
2,Social media websites,36.5%
3,Online travel agency websites,28.6%
4,Airbnb.com,24.7%
5,"Online video (YouTube.com, etc)",20.3%
6,Ask friends on social media,17.1%
7,Official tourism office website,16.2%
8,Travel-related podcasts,12.6%
9,Map websites or mapping apps,11.1%
10,Email travel newsletters,9.9%
11,"Digital assistant (Siri, Google Now, etc)",9.3%
12,User review websites,8.6%
13,"Blogs, articles or stories",7.2%
