,State,Value in million U.S. dollars
0,Texas,137119.31
1,California,44661.09
2,Michigan,34277.46
3,Unallocated,30582.74
4,Ohio,27589.16
5,Illinois,24933.93
6,New York,19628.39
7,Indiana,18913.95
8,Pennsylvania,15439.35
9,Louisiana,11369.15
10,Tennessee,11226.26
11,Washington,11078.68
12,North Carolina,10436.05
13,Arizona,10385.96
14,New Jersey,10044.97
15,Wisconsin,10035.74
16,Kentucky,9993.97
17,Georgia,9509.41
18,Florida,7686.18
19,Missouri,7235.54
20,Minnesota,7176.62
21,North Dakota,6360.87
22,South Carolina,6208.19
23,Alabama,6150.96
24,Iowa,5936.28
25,Massachusetts,4916.16
26,Mississippi,4164.34
27,Virginia,4120.36
28,Kansas,4116.93
29,Oregon,3890.09
30,Nebraska,3326.23
31,Connecticut,2762.35
32,New Mexico,2515.9
33,Colorado,2504.63
34,Oklahoma,2401.09
35,Arkansas,2281.48
36,Utah,2153.58
37,Maryland,2057.49
38,Nevada,1935.4
39,West Virginia,1647.58
40,Maine,1461.84
41,New Hampshire,1268.65
42,Vermont,1241.34
43,Idaho,1201.24
44,Puerto Rico,1161.7
45,Delaware,875.79
46,South Dakota,841.13
47,Montana,794.44
48,Rhode Island,779.6
49,Alaska,605.24
50,Wyoming,270.71
51,District of Columbia,24.25
52,Virgin Islands,19.86
53,Hawaii,16.9
