,industry,Value in billion U.S. dollars
0,Finance,20.09
1,Technology services,114.85
2,Producer manufacturing,5.92
3,Process industries,9.1
4,Commercial services,17.56
5,Electronic technology,26.73
6,Industrial services,11.35
7,Consumer non-durables,2.73
8,Health technology,41.79
9,Distribution services,4.68
10,Consumer services,5.89
11,Communications,22.62
12,Non-energy minerals,0.77
13,Energy minerals,14.09
14,Health services,1.97
15,Utilities,17.87
16,Retail trade,30.76
17,Transportation,6.53
18,Consumer durables,6.14
19,Miscellaneous,0.24
20,Government,0.14
