,Year,Population in thousands
0,2020,3280.82
1,2019,3301.0
2,2018,3323.93
3,2017,3351.53
4,2016,3386.26
5,2015,3429.36
6,2014,3482.11
7,2013,3542.6
8,2012,3604.97
9,2011,3661.17
10,2010,3705.48
11,2009,3735.95
12,2008,3754.26
13,2007,3762.79
14,2006,3765.42
15,2005,3765.33
16,2004,3764.19
17,2003,3762.18
18,2002,3759.39
19,2001,3755.51
20,2000,3751.18
21,1999,3743.35
22,1998,3734.34
23,1997,3736.07
24,1996,3764.42
25,1995,3829.05
26,1994,3936.53
27,1993,4078.94
28,1992,4233.67
29,1991,4369.32
30,1990,4463.42
31,1989,4507.82
32,1988,4509.46
33,1987,4479.52
34,1986,4435.93
35,1985,4392.14
36,1984,4350.57
37,1983,4307.91
38,1982,4265.18
39,1981,4222.48
40,1980,4179.85
41,1979,4138.82
42,1978,4100.36
43,1977,4063.19
44,1976,4025.27
45,1975,3985.11
46,1974,3942.22
47,1973,3897.26
48,1972,3851.15
49,1971,3805.29
50,1970,3760.54
51,1969,3717.48
52,1968,3675.45
53,1967,3632.68
54,1966,3586.63
55,1965,3535.63
56,1964,3479.0
57,1963,3417.57
58,1962,3353.23
59,1961,3288.6
60,1960,3225.66
61,1959,3165.19
62,1958,3106.9
63,1957,3049.93
64,1956,2993.28
65,1955,2936.3
66,1954,2878.84
67,1953,2821.31
68,1952,2764.71
69,1951,2710.65
70,1950,2661.3
71,1949,2630.0
72,1948,2600.0
73,1947,2580.0
74,1946,2560.0
75,1945,2540.0
76,1944,2530.0
77,1943,2510.0
78,1942,2490.0
79,1941,2470.0
80,1940,2450.0
81,1939,2430.0
82,1938,2410.0
83,1937,2400.0
84,1936,2380.0
85,1935,2360.0
86,1934,2340.0
87,1933,2330.0
88,1932,2310.0
89,1931,2290.0
90,1930,2270.0
91,1929,2260.0
92,1928,2240.0
93,1927,2220.0
94,1926,2210.0
95,1925,2190.0
96,1924,2170.0
97,1923,2160.0
98,1922,2140.0
99,1921,2130.0
100,1920,2110.0
101,1919,2090.0
102,1918,2080.0
103,1917,2060.0
104,1916,2050.0
105,1915,2030.0
106,1914,2020.0
107,1913,2000.0
108,1912,1990.0
109,1911,1970.0
110,1910,1950.0
111,1909,1930.0
112,1908,1910.0
113,1907,1890.0
114,1906,1870.0
115,1905,1850.0
116,1904,1830.0
117,1903,1810.0
118,1902,1790.0
119,1901,1770.0
120,1900,1750.0
121,1899,1730.0
122,1898,1710.0
123,1897,1690.0
124,1896,1670.0
125,1895,1650.0
126,1894,1630.0
127,1893,1620.0
128,1892,1600.0
129,1891,1580.0
130,1890,1560.0
131,1889,1540.0
132,1888,1520.0
133,1887,1500.0
134,1886,1480.0
135,1885,1450.0
136,1884,1430.0
137,1883,1410.0
138,1882,1390.0
139,1881,1370.0
140,1880,1350.0
141,1879,1330.0
142,1878,1310.0
143,1877,1290.0
144,1876,1270.0
145,1875,1250.0
146,1874,1230.0
147,1873,1210.0
148,1872,1190.0
149,1871,1180.0
150,1870,1160.0
151,1869,1150.0
152,1868,1140.0
153,1867,1130.0
154,1866,1130.0
155,1865,1120.0
156,1864,1110.0
157,1863,1110.0
158,1862,1100.0
159,1861,1090.0
160,1860,1090.0
161,1859,1080.0
162,1858,1070.0
163,1857,1070.0
164,1856,1060.0
165,1855,1060.0
166,1854,1050.0
167,1853,1040.0
168,1852,1040.0
169,1851,1030.0
170,1850,1020.0
171,1849,1020.0
172,1848,1010.0
173,1847,1010.0
174,1846,999.0
175,1845,993.0
176,1844,987.0
177,1843,981.0
178,1842,975.0
179,1841,969.0
180,1840,963.0
181,1839,957.0
182,1838,951.0
183,1837,946.0
184,1836,940.0
185,1835,934.0
186,1834,928.0
187,1833,923.0
188,1832,917.0
189,1831,911.0
190,1830,906.0
191,1829,900.0
192,1828,895.0
193,1827,889.0
194,1826,884.0
195,1825,878.0
196,1824,873.0
197,1823,868.0
198,1822,862.0
199,1821,858.0
200,1820,855.0
201,1819,853.0
202,1818,852.0
