,State,Number of establishments
0,California,3679
1,New York,2034
2,Texas,1888
3,Pennsylvania,1262
4,Illinois,1247
5,Florida,1088
6,Wisconsin,990
7,New Jersey,979
8,Ohio,893
9,Michigan,812
10,Washington,796
11,Oregon,672
12,Minnesota,667
13,Georgia,641
14,North Carolina,634
15,Massachusetts,598
16,Colorado,588
17,Indiana,492
18,Missouri,492
19,Iowa,483
20,Virginia,433
21,Maryland,374
22,Tennessee,366
23,Louisiana,334
24,Utah,333
25,Connecticut,311
26,Kansas,308
27,Nebraska,283
28,Alabama,283
29,Kentucky,272
30,Oklahoma,268
31,Hawaii,267
32,Arkansas,262
33,Arizona,258
34,Idaho,230
35,Maine,218
36,South Carolina,212
37,Nevada,208
38,Vermont,202
39,Mississippi,195
40,New Mexico,156
41,Montana,153
42,Alaska,149
43,Rhode Island,143
44,South Dakota,123
45,New Hampshire,118
46,North Dakota,114
47,West Virginia,84
48,Delaware,60
49,Wyoming,53
50,District of Columbia,23
