,Year,Male,Female
0,2028-29*,87.0,102.0
1,2027-28*,87.0,101.0
2,2026-27*,87.0,101.0
3,2025-26*,86.0,101.0
4,2024-25*,86.0,101.0
5,2023-24*,86.0,100.0
6,2022-23*,85.0,100.0
7,2021-22*,85.0,100.0
8,2020-21*,85.0,99.0
9,2019-20*,85.0,99.0
10,2018-19*,85.0,99.0
11,2017-18*,85.0,99.0
12,2016-17,84.65,96.71
13,2015-16,84.24,93.89
14,2014-15,84.92,93.63
15,2013-14,85.59,92.0
16,2012-13,85.08,89.95
17,2011-12,82.67,87.55
18,2010-11,79.67,84.16
19,2009-10,76.61,81.98
20,2008-09,75.67,78.89
21,2007-08,73.34,75.85
22,2006-07,71.31,73.38
23,2005-06,68.91,69.14
24,2004-05,67.26,67.13
25,2003-04,63.98,62.11
26,2002-03,62.73,58.85
27,2001-02,62.73,56.93
28,2000-01,64.17,55.41
29,1999-00,64.93,53.81
30,1998-99,65.34,51.36
31,1997-98,67.23,51.5
32,1996-97,68.39,50.36
33,1995-96,67.19,48.32
34,1994-95,67.32,46.94
35,1993-94,66.77,45.86
36,1992-93,67.13,44.94
37,1991-92,66.6,42.95
38,1990-91,64.24,41.31
39,1989-90,63.96,39.55
40,1988-89,63.06,37.52
41,1987-88,63.02,36.12
42,1986-87,62.79,35.69
43,1985-86,65.22,35.07
44,1984-85,66.27,34.52
45,1983-84,67.77,33.03
46,1982-83,67.76,31.58
47,1981-82,68.63,29.21
48,1980-81,69.57,28.45
49,1979-80,69.53,26.11
50,1978-79,70.45,24.52
51,1977-78,70.28,22.06
52,1976-77,72.21,19.52
53,1975-76,73.89,17.12
54,1974-75,71.03,13.88
55,1973-74,71.13,11.46
56,1972-73,69.96,9.55
57,1971-72,63.35,7.85
58,1970-71,58.14,6.86
59,1969-70,53.79,5.69
60,1959-60,8.8,1.03
61,1949-50,5.8,0.62
