,Country,Total value in million euros
0,France,1080.0
1,Spain,1040.0
2,Brazil,952.0
3,Germany,884.0
4,England,874.0
5,Belgium,756.0
6,Argentina,708.0
7,Portugal,465.5
8,Uruguay,367.5
9,Croatia,354.5
10,Senegal,290.2
11,Denmark,262.05
12,Poland,259.35
13,Colombia,256.35
14,Serbia,241.45
15,Switzerland,217.6
16,Egypt,196.88
17,Russia,161.83
18,Mexico,145.1
19,Nigeria,133.0
20,Morocco,122.75
21,Sweden,118.95
22,South Korea,84.53
23,Iceland,76.4
24,Japan,73.4
25,Tunisia,58.13
26,Australia,49.55
27,Iran,43.05
28,Costa Rica,42.08
29,Peru,37.5
30,Saudi Arabia,18.7
31,Panama,9.13
