,Year,Number of smallpox cases
0,1952,0
1,1951,0
2,1950,0
3,1949,49
4,1948,57
5,1947,176
6,1946,357
7,1945,346
8,1944,398
9,1943,765
10,1942,865
11,1941,1396
12,1940,2795
13,1939,9877
14,1938,14939
15,1937,11673
16,1936,7834
17,1935,7957
18,1934,5371
19,1933,6491
20,1932,11194
21,1931,30151
22,1930,48329
23,1929,42341
24,1928,39396
25,1927,37977
26,1926,32694
27,1925,39381
28,1924,56513
29,1923,30890
30,1922,33305
31,1921,108487
32,1920,110672
33,1919,62876
34,1918,80334
35,1917,47508
36,1916,19740
37,1915,38381
38,1914,40474
39,1913,38400
40,1912,23566
41,1911,23044
42,1910,31254
43,1909,23560
44,1908,33998
45,1907,18977
46,1906,15223
47,1905,19417
48,1904,31697
49,1903,52737
50,1902,72946
51,1901,62374
52,1900,21064
