,Month,Units sold
0,Jul '20,5371
1,Jul '19,3306
2,Jan '19,2171
3,Dec '18,1800
4,Nov '18,2330
5,Oct '18,2632
6,Sep '18,4234
7,Aug '18,2905
8,Jul '18,3384
9,Jun '18,3815
10,May '18,3058
11,Apr '18,2697
12,Mar '18,3375
13,Feb '18,1678
14,Jan '18,1882
15,Dec '17,1577
16,Nov '17,2488
17,Oct '17,2764
18,Sep '17,3606
19,Aug '17,2574
20,Jul '17,3216
21,Jun '17,3136
22,May '17,2951
23,Apr '17,2566
24,Mar '17,3270
25,Feb '17,1608
26,Jan '17,1877
27,Dec '16,5971
28,Nov '16,3482
29,Oct '16,4008
30,Sep'16,5672
31,Aug '16,4019
32,Jul '16,4642
