,Year,Number of YouTube views in millions
0,"Samsung India Service (SVC) – We’ll take care of you, wherever you are. #SamsungService",150.3
1,Clash Royale: The Last Second (Official Commercial),110.7
2,Ping Pong Trick Shots 3 | Dude Perfect (sponsored by Oreo),90.6
3,Miss Dior – The new Eau de Parfum,43.0
4,Budweiser 2017 Super Bowl Commercial | “Born The Hard Way”,28.5
5,2017 Kia Niro | “Hero’s Journey” Starring Melissa McCarthy,25.9
6,adidas Originals | ORIGINAL is never finished,25.4
7,iPhone 7 — The Rock x Siri Dominate the Day — Apple,25.3
8,Levi’s “Circles” Commercial l Full,22.3
9,Mr. Clean | 2017 Super Bowl Ad | Cleaner of Your Dreams,17.6
