,Year,Inflation rate compared to previous year
0,2024*,2.29%
1,2023*,2.28%
2,2022*,2.25%
3,2021*,2.22%
4,2020*,2.08%
5,2019*,1.02%
6,2018,0.97%
7,2017,3.8%
8,2016,2.08%
9,2015,2.1%
10,2014,3.14%
11,2013,2.11%
12,2012,1.66%
13,2011,3.17%
14,2010,1.72%
15,2009,0.6%
16,2008,5.43%
17,2007,2.03%
18,2006,3.62%
19,2005,3.04%
20,2004,1.42%
21,2003,1.07%
22,2002,1.79%
23,2001,1.43%
24,2000,1.55%
25,1999,2.73%
26,1998,5.29%
27,1997,2.66%
28,1996,3.48%
29,1995,3.47%
30,1994,3.69%
31,1993,3.55%
32,1992,4.78%
33,1991,4.33%
34,1990,3.04%
35,1989,2.56%
36,1988,0.29%
37,1987,0.74%
38,1986,0.35%
39,1985,2.59%
40,1984,3.9%
