,Major occupational group,Employment change in thousands
0,Food preparation and serving related,1488.3
1,Personal care and service,1237.6
2,Healthcare practitioners and technical,1082.6
3,Healthcare support,785.2
4,Management,706.9
5,Construction and extraction,704.0
6,Computer and mathematical,593.9
7,Business and financial operations,591.8
8,"Education, training, and library",512.9
9,Transportation and material moving,483.1
10,Community and social service,306.2
11,Building and grounds cleaning and maintenance,290.8
12,"Installation, maintenance, and repair",233.2
13,Architecture and engineering,113.3
14,"Life, physical, and social science",97.4
15,"Arts, design, entertainment, sports, and media",96.8
16,Protective service,95.2
17,Legal,93.3
18,"Farming, fishing, and forestry",3.2
19,Sales and related,-79.8
20,Production,-429.5
21,Office and administrative support,-608.1
