,Month,Number of tests
0,"Jan 7, 2021",24290
1,"Jan 6, 2021",1985
2,"Jan 5, 2021",6521
3,"Jan 4, 2021",8727
4,"Jan 3, 2021",5960
5,"Jan 2, 2021",10697
6,"Jan 1, 2021",18128
7,"Dec 31, 2020",17390
8,"Dec 30, 2020",18302
9,"Dec 29, 2020",6190
10,"Dec 28, 2020",4647
11,"Dec 27, 2020",3292
12,"Dec 26, 2020",9494
13,"Dec 25, 2020",22154
14,"Dec 24, 2020",26186
15,"Dec 23, 2020",21239
16,"Dec 22, 2020",7937
17,"Dec 21, 2020",15451
18,"Dec 20, 2020",24033
19,"Dec 19, 2020",24204
20,"Dec 18, 2020",32067
21,"Dec 17, 2020",18362
22,"Dec 16, 2020",12636
23,"Dec 15, 2020",10765
24,"Dec 14, 2020",19245
25,"Dec 13, 2020",25239
26,"Dec 12, 2020",30452
27,"Dec 11, 2020",28603
28,"Dec 10, 2020",29325
29,"Dec 9, 2020",28737
30,"Dec 8, 2020",9487
31,"Dec 7, 2020",21424
32,"Dec 6, 2020",23681
33,"Dec 5, 2020",23290
34,"Dec 4, 2020",18479
35,"Dec 3, 2020",26044
36,"Dec 2, 2020",14944
37,"Dec 1, 2020",5758
38,"Nov 30, 2020",8946
39,"Nov 29, 2020",16311
40,"Nov 28, 2020",21562
41,"Nov 27, 2020",21006
42,"Nov 26, 2020",18301
43,"Nov 25, 2020",20016
44,"Nov 24, 2020",10144
45,"Nov 23, 2020",15311
46,"Nov 22, 2020",22173
47,"Nov 21, 2020",24806
48,"Nov 20, 2020",22860
49,"Nov 19, 2020",23357
50,"Nov 18, 2020",21519
51,"Nov 17, 2020",27292
52,"Nov 16, 2020",6098
53,"Nov 15, 2020",28715
54,"Nov 14, 2020",19140
55,"Nov 13, 2020",23912
56,"Nov 12, 2020",23521
57,"Nov 11, 2020",20987
58,"Nov 10, 2020",13068
59,"Nov 9, 2020",16248
60,"Nov 8, 2020",19189
61,"Nov 7, 2020",22321
62,"Nov 6, 2020",20025
63,"Nov 5, 2020",17968
64,"Nov 4, 2020",17657
65,"Nov 3, 2020",14620
66,"Nov 2, 2020",13628
67,"Nov 1, 2020",18600
68,"Oct 31, 2020",16563
69,"Oct 30, 2020",15638
70,"Oct 29, 2020",15253
71,"Oct 28, 2020",15596
72,"Oct 27, 2020",11710
73,"Oct 26, 2020",10010
74,"Oct 25, 2020",18932
75,"Oct 24, 2020",11971
76,"Oct 23, 2020",13628
77,"Oct 22, 2020",16361
78,"Oct 21, 2020",9113
79,"Oct 20, 2020",6332
80,"Oct 19, 2020",9651
81,"Oct 18, 2020",9997
82,"Oct 17, 2020",12971
83,"Oct 16, 2020",9797
84,"Oct 15, 2020",10742
85,"Oct 14, 2020",9658
86,"Oct 13, 2020",7123
87,"Oct 12, 2020",8527
88,"Oct 11, 2020",10203
89,"Oct 10, 2020",11719
90,"Oct 9, 2020",11163
91,"Oct 8, 2020",11462
92,"Oct 7, 2020",9726
93,"Oct 6, 2020",5699
94,"Oct 5, 2020",6424
95,"Oct 4, 2020",7957
96,"Oct 3, 2020",11174
97,"Oct 2, 2020",12394
98,"Oct 1, 2020",11972
99,"Sep 30, 2020",11167
100,"Sep 29, 2020",7037
101,"Sep 28, 2020",7065
102,"Sep 27, 2020",10073
103,"Sep 26, 2020",11782
104,"Sep 25, 2020",11116
105,"Sep 24, 2020",11945
106,"Sep 23, 2020",13461
107,"Sep 22, 2020",6010
108,"Sep 21, 2020",10022
109,"Sep 20, 2020",11877
110,"Sep 19, 2020",12504
111,"Sep 18, 2020",11546
112,"Sep 17, 2020",12381
113,"Sep 16, 2020",9827
114,"Sep 15, 2020",8653
115,"Sep 14, 2020",11314
116,"Sep 13, 2020",8834
117,"Sep 12, 2020",11841
118,"Sep 11, 2020",11637
119,"Sep 10, 2020",10104
120,"Sep 9, 2020",8335
121,"Sep 8, 2020",5722
122,"Sep 7, 2020",11424
123,"Sep 6, 2020",9765
124,"Sep 5, 2020",8097
125,"Sep 4, 2020",7091
126,"Sep 3, 2020",7516
127,"Sep 2, 2020",7589
128,"Sep 1, 2020",1792
129,"Aug 31, 2020",3880
130,"Aug 30, 2020",6380
131,"Aug 29, 2020",3245
132,"Aug 28, 2020",5846
133,"Aug 27, 2020",3732
134,"Aug 26, 2020",4625
135,"Aug 25, 2020",2181
136,"Aug 24, 2020",1480
137,"Aug 23, 2020",3352
138,"Aug 22, 2020",2968
139,"Aug 21, 2020",3700
140,"Aug 20, 2020",2479
141,"Aug 19, 2020",2324
142,"Aug 18, 2020",2923
143,"Aug 17, 2020",2998
144,"Aug 16, 2020",3142
145,"Aug 15, 2020",3189
146,"Aug 14, 2020",2897
147,"Aug 13, 2020",799
148,"Aug 12, 2020",1888
149,"Aug 11, 2020",2335
150,"Aug 10, 2020",2970
151,"Aug 9, 2020",2921
152,"Aug 8, 2020",2438
153,"Aug 7, 2020",1976
154,"Aug 6, 2020",1170
155,"Aug 5, 2020",1965
156,"Aug 4, 2020",2110
157,"Aug 3, 2020",3724
158,"Aug 2, 2020",2702
159,"Aug 1, 2020",3015
160,"Jul 31, 2020",3207
161,"Jul 30, 2020",1656
162,"Jul 29, 2020",2029
163,"Jul 28, 2020",2881
164,"Jul 27, 2020",3819
165,"Jul 26, 2020",3734
166,"Jul 25, 2020",3132
167,"Jul 24, 2020",2058
168,"Jul 23, 2020",860
169,"Jul 22, 2020",2224
170,"Jul 21, 2020",2713
171,"Jul 20, 2020",2384
172,"Jul 19, 2020",2117
173,"Jul 18, 2020",1447
174,"Jul 17, 2020",2827
175,"Jul 16, 2020",797
176,"Jul 15, 2020",1136
177,"Jul 14, 2020",1205
178,"Jul 13, 2020",1188
179,"Jul 12, 2020",2430
180,"Jul 11, 2020",909
181,"Jul 10, 2020",1710
182,"Jul 9, 2020",900
183,"Jul 8, 2020",493
184,"Jul 7, 2020",2082
185,"Jul 6, 2020",1880
186,"Jul 5, 2020",1938
187,"Jul 4, 2020",1940
188,"Jul 3, 2020",2805
189,"Jul 2, 2020",1048
190,"Jul 1, 2020",2703
191,"Jun 30, 2020",931
192,"Jun 29, 2020",3207
193,"Jun 28, 2020",1927
194,"Jun 27, 2020",3709
195,"Jun 26, 2020",2559
196,"Jun 25, 2020",746
197,"Jun 24, 2020",1789
198,"Jun 23, 2020",3226
199,"Jun 22, 2020",3709
200,"Jun 21, 2020",3793
201,"Jun 20, 2020",3459
202,"Jun 19, 2020",5311
203,"Jun 18, 2020",1451
204,"Jun 17, 2020",1635
205,"Jun 16, 2020",3603
206,"Jun 15, 2020",3470
207,"Jun 14, 2020",4422
208,"Jun 13, 2020",4558
209,"Jun 12, 2020",3221
210,"Jun 11, 2020",3719
211,"Jun 10, 2020",547
212,"Jun 9, 2020",3349
213,"Jun 8, 2020",4247
214,"Jun 7, 2020",6712
215,"Jun 6, 2020",4322
216,"Jun 5, 2020",1603
217,"Jun 4, 2020",2004
218,"Jun 3, 2020",1985
219,"Jun 2, 2020",1985
220,"Jun 1, 2020",2418
221,"May 31, 2020",3410
222,"May 30, 2020",6141
223,"May 29, 2020",4051
224,"May 28, 2020",3697
225,"May 27, 2020",1644
226,"May 26, 2020",1694
227,"May 25, 2020",3665
228,"May 24, 2020",3459
229,"May 23, 2020",8290
230,"May 22, 2020",4782
231,"May 21, 2020",4032
232,"May 20, 2020",1455
233,"May 19, 2020",2105
234,"May 18, 2020",3708
235,"May 17, 2020",4192
236,"May 16, 2020",3979
237,"May 15, 2020",4758
238,"May 14, 2020",3781
239,"May 13, 2020",2554
240,"May 12, 2020",3908
241,"May 11, 2020",4999
242,"May 10, 2020",4200
243,"May 9, 2020",4200
244,"May 8, 2020",5022
245,"May 7, 2020",7293
246,"May 6, 2020",1186
247,"May 5, 2020",1599
248,"May 4, 2020",1948
249,"May 3, 2020",2459
250,"May 2, 2020",3220
251,"May 1, 2020",3380
252,"Apr 30, 2020",2651
253,"Apr 29, 2020",3128
254,"Apr 28, 2020",1547
255,"Apr 27, 2020",2120
256,"Apr 26, 2020",2704
257,"Apr 25, 2020",2550
258,"Apr 24, 2020",2861
259,"Apr 23, 2020",2688
260,"Apr 22, 2020",2650
261,"Apr 21, 2020",1995
262,"Apr 20, 2020",1704
263,"Apr 19, 2020",2452
264,"Apr 18, 2020",2311
265,"Apr 17, 2020",3101
266,"Apr 16, 2020",1163
267,"Apr 15, 2020",1501
268,"Apr 14, 2020",1006
269,"Apr 13, 2020",1287
270,"Apr 12, 2020",1571
271,"Apr 11, 2020",2013
272,"Apr 10, 2020",2122
273,"Apr 9, 2020",2078
274,"Apr 8, 2020",2002
275,"Apr 7, 2020",1464
276,"Apr 6, 2020",1032
277,"Apr 5, 2020",1826
278,"Apr 4, 2020",1655
279,"Apr 3, 2020",1386
280,"Apr 2, 2020",1193
281,"Apr 1, 2020",1062
282,"Mar 31, 2020",845
283,"Mar 30, 2020",1153
284,"Mar 29, 2020",1845
285,"Mar 28, 2020",1028
286,"Mar 27, 2020",1270
287,"Mar 26, 2020",1188
288,"Mar 25, 2020",704
289,"Mar 24, 2020",598
290,"Mar 23, 2020",1072
291,"Mar 22, 2020",966
292,"Mar 21, 2020",470
293,"Mar 20, 2020",685
294,"Mar 19, 2020",519
295,"Mar 18, 2020",216
296,"Mar 17, 2020",117
297,"Mar 16, 2020",234
298,"Mar 15, 2020",222
299,"Mar 14, 2020",156
300,"Mar 13, 2020",128
