,Month,Number of persons tested daily
0,Mar 6,305
1,Mar 7,87
2,Mar 8,104
3,Mar 9,94
4,Mar 10,-42
5,Mar 11,165
6,Mar 12,140
7,Mar 13,153
8,Mar 14,185
9,Mar 15,245
10,Mar 16,159
11,Mar 17,318
12,Mar 18,225
13,Mar 19,302
14,Mar 20,267
15,Mar 21,540
16,Mar 22,242
17,Mar 23,451
18,Mar 24,476
19,Mar 25,185
20,Mar 26,972
21,Mar 27,838
22,Mar 28,720
23,Mar 29,401
24,Mar 30,688
25,Mar 31,887
26,Apr 1,1181
27,Apr 2,1454
28,Apr 3,1889
29,Apr 4,1524
30,Apr 5,1036
31,Apr 6,1448
32,Apr 7,2042
33,Apr 8,1690
34,Apr 9,2301
35,Apr 10,2174
36,Apr 11,1580
37,Apr 12,1427
38,Apr 13,1199
39,Apr 14,1439
40,Apr 15,2967
41,Apr 16,3351
42,Apr 17,3144
43,Apr 18,3323
44,Apr 19,2458
45,Apr 20,2694
46,Apr 21,3221
47,Apr 22,4772
48,Apr 23,3840
49,Apr 24,4828
50,Apr 25,4839
51,Apr 26,3171
52,Apr 27,1767
53,Apr 28,5472
54,Apr 29,4584
55,Apr 30,5150
56,May 1,3698
57,May 2,1450
58,May 3,1584
59,May 4,2060
60,May 5,4742
61,May 6,5161
62,May 7,4694
63,May 8,3910
64,May 9,1488
65,May 10,786
66,May 11,2063
67,May 12,4326
68,May 13,4876
69,May 14,3992
70,May 15,4084
71,May 16,2476
72,May 17,971
73,May 18,2041
74,May 19,3371
75,May 20,2933
76,May 21,2751
77,May 22,2236
78,May 23,1649
79,May 24,645
80,May 25,1464
81,May 26,2839
82,May 27,2352
83,May 28,1848
84,May 29,3433
85,May 30,1606
86,May 31,274
87,Jun 1,6418
88,Jun 2,2336
89,Jun 3,2135
90,Jun 4,1832
91,Jun 5,2639
92,Jun 6,1180
93,Jun 7,160
94,Jun 8,851
95,Jun 9,1545
96,Jun 10,1500
97,Jun 11,1262
98,Jun 12,1511
99,Jun 13,479
100,Jun 14,47
101,Jun 15,847
102,Jun 16,1163
103,Jun 17,787
104,Jun 18,806
105,Jun 19,1278
106,Jun 20,301
107,Jun 21,41
108,Jun 22,661
109,Jun 23,1257
110,Jun 24,936
111,Jun 25,1515
112,Jun 28,62
113,Jun 29,784
114,Jun 30,2063
115,Jul 2,1801
116,Jul 5,50
117,Jul 9,2172
118,Jul 12,279
119,Jul 19,24
120,Jul 24,2275
121,Jul 25,767
122,Jul 26,216
123,Aug 1,585
124,Aug 2,766
125,Aug 5,2667
126,Aug 6,2473
127,Aug 7,3099
128,Aug 8,1068
129,Aug 9,564
130,Aug 11,3131
131,Aug 12,2741
132,Aug 13,2738
133,Aug 22,3356
134,Aug 28,4453
135,Aug 29,1951
136,Aug 30,588
137,Sep 4,5947
138,Sep 5,2462
139,Sep 6,922
140,Sep 10,4266
141,Sep 15,3235
142,Sep 20,1952
143,Sep 25,6483
144,Sep 30,9170
145,Oct 1,7824
146,Oct 5,3750
147,Oct 10,8959
148,Oct 11,3998
149,Oct 16,11904
150,Oct 17,10858
151,Oct 18,5025
152,Oct 19,5946
153,Oct 29,16556
154,Oct 30,18074
155,Oct 31,21949
156,Nov 01,21477
157,Nov 02,18994
158,Nov 03,13377
159,Nov 04,12864
160,Nov 05,11615
161,Nov 06,15767
162,Nov 07,15466
163,Nov 08,4956
164,Nov 09,6813
165,Nov 10,12891
166,Nov 11,12584
167,Nov 13,10742
168,Nov 15,1771
169,Nov 16,7837
170,Nov 17,5833
171,Nov 18,7913
172,Nov 19,9836
