,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",33.56
1,Professional and business services,20.62
2,Manufacturing,19.77
3,Government and government enterprises,19.6
4,Retail trade,12.55
5,"Educational services, health care, and social assistance",12.25
6,Information,10.57
7,Construction,8.97
8,Wholesale trade,8.39
9,Transportation and warehousing,5.7
10,"Arts, entertainment, recreation, accommodation, and food services",5.53
11,"Mining, quarrying, and oil and gas extraction",3.47
12,Utilities,2.18
13,"Agriculture, forestry, fishing, and hunting",1.51
