,Year,Gross domestic product in billion international dollars
0,2021*,45.17
1,2020*,43.18
2,2019*,44.95
3,2018,44.18
4,2017,43.23
5,2016,43.44
6,2015,45.88
7,2014,44.6
8,2013,44.19
9,2012,42.48
10,2011,41.98
11,2010,41.2
12,2009,39.36
13,2008,41.04
14,2007,38.98
15,2006,36.41
16,2005,30.95
17,2004,28.34
18,2003,25.72
19,2002,22.17
20,2001,20.37
21,2000,19.22
22,1999,17.59
23,1998,16.05
24,1997,14.68
25,1996,13.42
26,1995,12.3
27,1994,11.61
28,1993,10.97
29,1992,10.79
30,1991,9.58
31,1990,8.99
32,1989,8.54
33,1988,8.28
34,1987,8.33
35,1986,8.51
36,1985,8.63
37,1984,8.72
