,Buyer (Seller),Value in billion U.S. dollars
0,Kinder Morgan Inc (Kinder Morgan Energy Partners),71.0
1,Access Midstream Partners (William Partners),34.4
2,Targa Resource Partners (Atlas Pipeline Partners),7.7
3,Williams Partners (Global Infrastructure Partners),6.0
4,APA Grup (BG Group),5.0
5,Enterprise Products Partners (Oiltaking Holding America),4.6
6,Tesoro Logistics (QEP Resources),2.5
7,El Paso Pipeline Partners (Kinder Morgan Inc),2.0
8,Enbridge Income Fund (Enbridge Inc),1.6
9,Western Gas Partners (Nuevo Midstream LLC),1.5
