,Year,Inflation rate compared to previous year
0,2024*,3.28%
1,2023*,3.22%
2,2022*,3.09%
3,2021*,2.84%
4,2020*,2.34%
5,2019*,0.86%
6,2018,3.23%
7,2017,3.68%
8,2016,1%
9,2015,1.28%
10,2014,3.22%
11,2013,3.54%
12,2012,3.86%
13,2011,6.53%
14,2010,2.92%
15,2009,2.52%
16,2008,9.72%
17,2007,8.83%
18,2006,8.91%
19,2005,4.94%
20,2004,4.71%
21,2003,2.69%
22,2002,6.41%
23,2001,5.39%
24,2000,4.22%
25,1999,6.88%
26,1998,6.81%
27,1997,6.83%
28,1996,6.55%
29,1995,6.03%
30,1994,7.34%
31,1993,15.29%
32,1992,2.86%
33,1991,12.82%
34,1990,10.71%
35,1989,13.61%
36,1988,3.6%
37,1987,0.72%
38,1986,4.34%
39,1985,8.32%
40,1984,5.53%
