,Year,Inflation rate compared to previous year
0,2025*,5%
1,2024*,5%
2,2023*,5%
3,2022*,4.9%
4,2021*,4.65%
5,2020*,4.67%
6,2019,4.3%
7,2018,4.27%
8,2017,6.58%
9,2016,3.99%
10,2015,2.24%
11,2014,2.76%
12,2013,6.94%
13,2012,7.54%
14,2011,6.72%
15,2010,6.25%
16,2009,3.43%
17,2008,9.64%
18,2007,15.84%
19,2006,10.02%
20,2005,10.98%
21,2004,9.01%
22,2003,8.97%
23,2002,9.55%
24,2001,14.16%
25,2000,6.18%
26,1999,4.69%
27,1998,9.37%
28,1997,9.57%
29,1996,15.94%
30,1995,7.68%
31,1994,8.45%
32,1993,11.75%
33,1992,11.38%
34,1991,12.19%
35,1990,21.5%
36,1989,11.57%
37,1988,13.99%
38,1987,7.72%
39,1986,7.98%
40,1985,1.48%
